oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
sa kathaṃ śreṣṭho vāgādiṣu sarvaiḥ saṃhatyakāritvāviśeṣe? kathaṃ ca tasyopāsanamiti tasya śreṣṭhatvādiguṇavidhitsayedamanantaramārabhyateyo ha vai kaścijjyeṣṭhaṃ ca prathamaṃ vayasā vāva jyeṣṭhaśca	The question that arises isIn what way is Breath superior to Speech and the rest, when they are all found to be functioning collectively? In what way too is this Breath to be meditated upon?It is with a view to answer the first of these questions that the Text proceeds to declare the superiority of Breath ‘Om! One who knows the Oldest and the Best himself becomes the Oldest and the Best
vayasā vāgādibhyaḥ /	Breath indeed is the Oldest and the Best
garbhasthe hi puruṣe prāṇasya vṛttirvāgādibhyaḥ pūrvaṃ labdhātmikā bhavati yayā garbho	Any one who knows the Oldest,the first in point of āge,and the Bestsuperior in qualities,himself becomes the Oldest and the Best
vivardhate cakṣurādisthānāvayavaniṣpattau satyāṃ paścādvāgādīnāṃ vṛttilābha iti prāṇo jyeṣṭho vayasā bhavati /	Having tempted and attracted the attention of the listener by mentioning the reward, the Text declaresBreath indeed is the Oldest, in point of age, among Speech and the rest As a matter of fact, while the man to be born is still in the womb, the functioning of Breath appears before that of Speech and the rest, and it is through the function of the Breath that the foetus grows,and the functioning of the organs of Speech and the rest appear only when, later on, the constituent elements of the eye and other organs take shape;
śreṣṭhatvaṃ tu pratipādayiṣyati suhaya ityādinidarśanena / ataḥ prāṇa eva jyeṣṭhaśca śreṣṭhaścāsminkāryakaraṇasaṅghāte //	thus Breath is the Oldest in age,As regards Breath being the Best, that is going to be explained later on under Text , by means of the example of the ‘Spirited House’Thus the conclusion is that in this Bodywhich is an aggregate of causes and effectsBreath is the Oldest and the Best
yo ha vai vasiṣṭhaṃ veda vasiṣṭho ha svānāṃ bhavati /	One who knows the Richest, becomes the Richest among his own people
vāg vāva vasiṣṭhaḥ //	Speech indeed is the Richest
yo ha vai vasiṣṭhaṃ vasitṛtamamācchādayitṛtamaṃ vasumattamaṃ vā yo veda sa tathaiva vasiṣṭho ha bhavati svānāṃ jñātīnām /	One who knows the ‘Vasiṣṭha’which may mean ‘the best of coverers’ or the ‘Richesthimself becomes the Richest among his people,his relations
kastarhi vasiṣṭha ityāha /	QuestionWho then is the Richest?
vāgvāva vasiṣṭho vāgmino hi puruṣā vasantyabhibhavantyanyānvasumattamāścāto vāgvasiṣṭhaḥ //	AnswerSpeech indeed is the Richest; people who are good speakers suppress others and also become the Richest; hence speech is the Richest
yo ha vai pratiṣṭhāṃ veda prati ha tiṣṭhaty asmiṃś ca loke 'muṣmiṃś ca /	One who knows firmness becomes firm in this world, and also in the other
cakṣur vāva pratiṣṭhā //	The Eye is indeed firmness
yo ha vai pratiṣṭhāṃ veda sa cāsmiṃlloke 'muṣmiṃśca pare pratitiṣṭhati ha /	One who knows firmness becomes firm in this world, and also in the otherhigher one
kā tarhi pratiṣṭhetyāhacakṣurvāva pratiṣṭhā /	QuestionWhat is firmness?
cakṣuṣā hi paśyansame ca durge ca pratitiṣṭhati yasmādataḥ pratiṣṭhā cakṣuḥ //	AnswerThe Eye indeed is firmnessWhen a man sees with his eyes, then alone does he remain firm on even as well as on uneven ground; hence the Eye is firmness
yo ha vai saṃpadaṃ veda saṃ hāsmai kāmāḥ padyante daivāś ca mānuṣāś ca /	One who knows Prosperityfor him all desires prosper, divine as well as human
śrotraṃ vāva saṃpat //	The Ear indeed is Prosperity
yo ha vai sampadaṃ veda tasmā asmai daivāśca mānuṣāśca kāmāḥ sampadyante ha /	One who knows Prosperity, for him all desires, human and divine, prosper
kā tarhi sampadityāhaśrotraṃ vāva sampat /	QuestionWhat is Prosperity? AnswerThe Ear indeed is Prosperity
yasmācchrotreṇa vedā gṛhyante tadarthavijñānaṃ ca tataḥ karmāṇi kriyante tataḥ kāmasampadityevaṃ kāmasampaddhetutvācchrotraṃ vāva saṃpat //	It is through the Ear that the Vedas and their meaning are learnt, and hence Rites are performed, whence desires become fulfilled; thus, being the cause of the prosperity or fulfilment of desires, the Ear indeed is Prosperity
yo ha vā āyatanaṃ vedāyatanaṃ ha svānāṃ bhavati /	One who knows the Home becomes the Home of his PeopleMind indeed is the Home
yo ha vā āyatanaṃ vedā'yatanaṃ ha svānāṃ bhavatyāśrayo bhavatītyarthaḥ /	One who knows the Home becomes the Home,ie the supportof his people
kiṃ tadāyatanamityāhamano ha vā āyatanam /	QuestionWhat is that Home? AnswerMind indeed is the Home
indriyopahṛtānāṃ viṣayāṇāṃ bhoktrarthānāṃ pratyayarūpāmāṃ mana āyatanamāśrayaḥ /	It is the Mind that is the‘Home’, the support, of all those objects that are presented in the form of Perceptions, by the senseorgans for being experienced by the Enjoyer
ato mano ha vā āyatanamityuktam //	Hence, it is said that Mind indeed is the Home
atha ha prāṇā ahaṃśreyasi vyūdire / ahaṃ śreyān asmy ahaṃ śreyān asmīti //	Now, the five senseorgans quarrelled among themselves, as to who was superior,saying ‘ am superior’, ‘ am superior’
atha ha prāṇā evaṃ yathoktaguṇāḥ santo 'haṃśreyasyahaṃ śreyānasmyahaṃ śreyānasmītyetasminprayojane vyūdire nānā viruddhaṃ codira	Now, the senseorganspossessed of the qualities described above,quarrelled among themselvesas to who was superiorand spoke much against each other,saying ‘ am superior, am superior’
uktavantaḥ // te ha prāṇāḥ prajāpatiṃ pitaram etyocuḥ bhagavan ko naḥ śreṣṭha iti / tān hovāca /	The senseorgans, having gone to Prajāpati, their Father,said to him‘Sir, who is the best amongst us?’ He saidto them‘He on whose departure the body becomes worst,that amongst you is the Best’
te ha tai haivaṃ vivadamānā ātmanaḥ śreṣṭhatvavijñānāya prajāpatiṃ pitaraṃ janayitāraṃ kañcidetyocuruktavanto he bhagavanko no 'smākaṃ madhye śreṣṭho	Thus quarrelling among themselves, each desirous of ascertaining his own superiority,they went to Prajāpati, their Father,creator,and said‘Sir, amongs us, who is best,superior in qualities?this is what they asked him
tānpitovāca ha yasminvo yuṣmākaṃ madhye utkrānte śarīramidaṃ pāpiṣṭhamivātiśayena jīvato 'pi, samutkrāntaprāṇaṃ tato 'pi pāpiṣṭhataramivātiśayena dṛṣyate kuṇapamaspṛśyamaśuci dṛśyeta sa vo yuṣmākaṃ śreṣṭha ityavocatkākvā tadduḥkhaṃ parijihīrṣuḥ	The Father said to them‘Amongst you, he on whose departure the Body becomes worst;the body is bad enough even when the man is alive, and when life is extinct, it becomes still worse,a corpse, untouchablehe is the best amongst you’ Desiring to avoid giving pain to any one of them, He gave his answer in this indirect manner
sā ha vāg uccakrāma /	Speech went out;
katham aśakatarte maj jīvitum iti / yathā kalā avadantaḥ prāṇantaḥ prāṇena paśyantaś cakṣuṣā śṛṇvantaḥ śrotreṇa dhyāyanto manasaivam iti /	and having stayed away for a year it came back and said‘How have you been able to live without me‘Just like the dumb, not speaking, but breathing with the Breath, seeing with the Eye, hearing with the Ear, and thinking with the Mind’
praviveśa ha vāk //	Then Speech went in
cakṣur hoccakrāma /	The Eye went out;
katham aśakatarte maj jīvitum iti / yathāndhā apaśyantaḥ prāṇantaḥ prāṇena vadanto vācā śṛṇvantaḥ śrotreṇa dhyāyanto manasaivam iti / praviveśa ha cakṣuḥ //	and after having stayed away for a year, it came back and said‘How have you been able to live without me?’‘Just like the blind, not seeing, but breathing with the Breath, speaking with the Speech, hearing with the Ear, and thinking with the Mind’Then the Eye went in
śrotraṃ hoccakrāma /	The Ear went out;
tat saṃvatsaraṃ proṣya paryetyovāca katham aśakatarte maj jīvitum iti /	and after having stayed away for a year, it came back and said‘How have you been able to live without me?’
yathā badhirā aśṛṇvantaḥ prāṇantaḥ prāṇena vadanto vācā paśyantaś cakṣuṣā dhyāyanto manasaivam iti /	‘Just like the deaf,not hearing, but breathing with the Breath, speaking with the Speech, seeing with the Eye and thinking with the Mind’
praviveśa ha śrotram //	The Ear went in
mano hoccakrāma /	The Mind went out;
katham aśakatarte maj jīvitum iti / yathā bālā amanasaḥ prāṇantaḥ prāṇena vadanto vācā paśyantaś cakṣuṣā śṛṇvantaḥ śrotreṇaivam iti /	and after having stayed away for a year, it came back and said‘How have you been able to live without me?’‘Just like infants without minds,breathing with the Breath, speaking with the Speech, seeing with the Eye and hearing with the Ear’
praviveśa ha manaḥ //	The Mind went in’
tathokteṣu pitrā prāṇeṣu sā ha vāguccakrāmotkrāntavatī /	The senseorgans having been told as above by their father, Speech went out,departed from the body
sā cotkramya saṃvatsaramātraṃ proṣya svavyāpārānnivṛttā satī punaḥ paryetyetarānprāṇānuvāca kathaṃ kena prakāreṇāśakata śaktavanto yūyaṃ madṛte māṃ vinā jīvituṃ dhārayitumātmānamiti	Having gone out, it stayed away for a year,desisting from its function;then having come bach, it said to the other organsHowin that mannerdid you live without me?That is, how did you manage to sustain your life without me?They said‘Just like the Dumb etc, etc
akalā mūkā yathā loke 'vadanto vācā jīvanti /	Just as in the world, dumb persons do not speak, and yet they live
katham?prāṇantaḥ prāṇena paśyantaścakṣuṣā śṛṇvantaḥ śrotreṇa dhyāyanto manasaivaṃ sarvakaraṇaceṣṭāṃ kurvanta ityarthaḥ / evaṃ vayamajīviṣmetyarthaḥ /	How so? Breathing with the Breath, seeing with the Eye, hearing with the Ear, thinking with the Mind;ie carrying on the functions of all other organs except Speech;in this manner we lived’Thus having understood that it was not the best among the organs, Speech Went in,ie again became engaged in its own function
samānamanyaccakṣurheccakrāma śrotraṃ hoccakrāma mano hoccakrāmetyādi / yathā bālā amanaso 'prarūḍhamanasa ityarthaḥ // //	The rest is as before in what followsThe Eye went out, the Ear went out, the Mind went out etc, etc,Just like infants, without minds,ie with their minds still undeveloped
atha ha prāṇa uccikramiṣan sa yathā suhayaḥ paḍvīśaśaṅkūn saṃkhided evam itarān prāṇān samakhidat /	Now, the Breath, on going to depart, uprooted the other organs, just as the fine horse would uproot the pegs to which it is tethered
taṃ hābhisametyocuḥ / bhagavann edhi / tvaṃ naḥ śreṣṭho 'si /	They gathered round him and said, ‘Hail! Prosper, Sir, you are the Best amongst us;
motkramīr iti //	do not depart’
evaṃ parīkṣiteṣu vāgādiṣvathānantaraṃ ha sa mukhyaḥ prāṇa uccikramiṣannutkramitumicchankimakarodityucyate /	Speech and the rest having been thus tested,now Breath,the Principal Breathon going to depart
yathā loke suhayaḥ śobhano 'śvaḥ paḍvīśaśaṅkūnpādabandhanakīlānparīkṣaṇāyā'rūḍhena kaśyāhataḥ sansaṅkhidetsamutkhanet samutpāṭayet,	just as it evinced a desire to go out,what did it do?just as in the world,a fine horsea spirited horseon being struck with the whip by the rider desirous of fastening it,Would uproottear outthe pegs to which it is tethered,in the same manner, Breath uprootedtore upthe other organs
evamitarānvāgādīnprāṇānsamakhidatsamuddhṛtavān / te prāṇāḥ sañcālitāḥ santaḥ svasthāne sthātumanutsahamānā abhisametya mukhyaṃ prāṇaṃ	Speech and the rest;thereupon, these organs, having become thus uprooted and hence unable to remain in their places,gathered round himthe Principal Breath,and said to him‘Hail, Sir, prosper;be our master;
tamūcurheṃ bhagavannedhi bhava naḥ svāmī yasmāttvaṃ no 'smākaṃ śreṣṭho 'si mā cāsmāddehādutkramīriti //	because amongst us, you are the Best; and please do not depart from this body’
atha hainaṃ vāg uvāca / yad ahaṃ vasiṣṭho 'smi tvaṃ tadvasiṣṭho 'sīti / atha hainaṃ cakṣur uvāca /	Then Speech said to him‘As am the richest, you are that richest’ Then the Eye said to him‘As am firmness, you are that firmness!’
atha hainaṃ mana uvāca / yad aham āyatanam asmi tvaṃ tadāyatanam asīti //	Then the Ear said to him‘As am prosperity, you are that prosperityThen the Mind said to him‘As am the home, you are that home’
atha hainaṃ vāgādayaḥ prāṇasya śreṣṭhatvaṃ kāryeṇā'pādayanta āhurbalimiva haranto rājñe viśaḥ /	Speech and the rest, establishing, by their action, the superiority of Breath, said to himmaking offerings to him like the people to their King
kathaṃ, vāk tāvaduvāca yadahaṃ vasiṣṭho 'smi / yaditi kriyāviśeṣaṇaṃ yadvasiṣṭhatvaguṇāsmītyarthaḥ /	What did they say?Speech said‘As am the richest,‘as’ is an adverb, the meaning being that the quality of richness by which am the richest,by that same quality of richness you are the richest;
tvaṃ tadvasiṣṭhastena vasiṣṭhatvaguṇo 'jñānānmameti mayābhimata ityetat /	the sense being that ‘the quality of Richness is really due to and belongs to yourself, and it was in sheer ignorance that regarded it as mine’
tathottareṣu yojyaṃ cakṣuḥśrotramanaḥsu // //	The same interpretation may be applied to the others,Eye, Ear and Mindalso
na vai vāco na cakṣūṃṣi na śrotrāṇi na manāṃsīty ācakṣate /	And people do not call them ‘Speeches’, ‘Eyes’, ‘Ears’, ‘Minds’;
prāṇā ity evācakṣate /	they call them ‘Breath’;
prāṇo hy evaitāni sarvāṇi bhavati //	for Breath indeed is all these
śruteridaṃ vaco yuktamidaṃ vāgādibhirmukhyaṃ prāṇaṃ pratyabhihitaṃ	This text contains the assertion of the VedaText itself What is meant is as followsWhat Speech and the rest said to Breath was quite right
yasmānna vai loke vāco na cakṣūṃṣi na śrotrāṇi na manāṃsīti vāgādīni karaṇānyācakṣate laukikā āgamajñā vā /	Because, in the ordinary world, peopleordinary men or personsversed in the Scriptures do not call Speech and the other senseorgans as ‘Speeches’, or ‘Eyes’ or ‘Ears’ or ‘Minds’;
kiṃ tarhi?prāṇā ityevā'cakṣate kathayanti yasmātprāṇo hyevaitāni sarvāṇi vāgādīni	they call them ‘Breaths’ Because all these senseorgans, Speech and the rest, are Breath, therefore what Speech and the rest said to the Principal Breath was quite right
karaṇajātāni bhavatyato mukhyaṃ prāmaṃ pratyanurūpameva vāgādibhiruktamiti prakaraṇārthamupasañjihīrṣati /	This has been said in the text for the purpose of summing up the contents of the Section
nanu kathamidaṃ yuktaṃ cetanāvanta iva puruṣā ahaṃśreṣṭhatāyai vivadanto 'nyonyaṃ spardheranniti /	ObjectionHow can all this be right and proper? As a matter of fact, it is only persons, who are conscious beings, who quar el among themselves for superiority
na hi cakṣurādīnāṃ vācaṃ pratyākhyāya pratyekaṃ vadanaṃ sambhavati /	Secondly, excepting Speech, it is not possible for any other organ among the Eye and the rest to speak out
tathāpagamo dehātpunaḥ praveśo brahmagamanaṃ prāṇastutirvopapadyate /	Thirdly, their departure from the body, reentrance into it, coming to Brahmā, eulogising of Breath,none of this can be possible
tatrāgnyādicetanāvaddevatādhiṣṭhitatvādvāgādīnāṃ cetanāvattvaṃ tāvatsiddhamāgamataḥ tārkikasamayavirodha iti ceddeha ekasminnanekacetanāvattve	AnswerIt is a fact established on the strength of the scriptures that Speech and the other organs are conscious, through being presided over by conscious deities,just in the same way as the fact of fire, earth and the rest being conscious is well recognised
īśvarasya nimittakāramatvābhyupagamāt /	because they posit God as the ‘Operative cause’ of the world
ye tāvadīśvaramabhyupagacchanti tārkikāste mana ādikāryakaramānāmādhyātmikānāṃ bāhyānāṃ ca pṛthivyādīnāmīśvarādhiṣṭhitānāmeva niyamena pravṛttimicchanti rathādivat /	Those logicians who admit the existence of God, hold that the functioning of all ‘internal’ causes and effects as the Mind and the rest, as also of all ‘external’ things like Earth and the rest,is invariably due to their being presided over by God,just as the moving of the chariot and the other things is due to its being operated upon by a conscious person
na cāsmābhiragnyādyāścetanāvatyo 'pi devatā adhyātmaṃ bhoktryo 'bhyupagamyante,	As for ourselves Vedāntins, even though we regard Fire and the rest as endowed with consciousness, we do not regard them as the experience;
kiṃ tarhi,	of what is occurring in the body;
kāryakaraṇavatīnāṃ hi tāsāṃ prāṇaikadevatābhedānāmadhyātmādhibhūtādhidaivabhedakoṭivikalpānāmadhyakṣatāmātreṇa niyanteśvaro 'bhyupagamyate	what we hold is that all these entities Fire and the rest are made up of so many causes and effects,they are the diverse forms of the one deity ‘Breath’ Prāṇa, and serve as prototypes of the millions of manifestations spiritual, material and divine;and God is posited by us only as the controller of these not their Operative causeand this God is without organs;
sa hyakaraṇaḥ /	as declared in the Text‘Without hands and feet, He runs and holds, without eyes
hiraṇyagarbhaṃ janayāmāna pūrvamityādi ca śvetāśvatarīyāḥ paṭhanti /	The followers of the Śvetāśvatara have also the following texts bearing upon this subjecta ‘Look upon Hiraṇyagarbha being born’, Śvetā b ‘First of all He created Hiraṇyagarbha’ Śvetā
bhoktā karmaphalasambandhī dehe tadvilakṣaṇo jīva iti vakṣyāmaḥ /	As for the enjoyer, experiencer, who is related to the rewards of deeds done, he is the Jīva the Corporeal Self in the Body, and this is different from the said God the controller,as we shall explain later on
vāgādīnāṃ ceha saṃvādaḥ kalpito viduṣo 'nvayavyatirekābhyāṃ prāṇaśreṣṭhatānirdhāraṇārtham /	As for the dialogue among Speech and the other organs that we have in the present context,it is an imaginary one, set forth for the purpose of establishing the superiority of Breath, by means of negation and affirmation
yathā loke puruṣā anyonyamātmanaḥ śreṣṭhatāyai vivadamānāḥ kañcidguṇaviśeṣābhijñaṃ pṛcchanti ko naḥ śreṣṭho guṇairiti /	In the ordinary world, when people quarrel among themselves, regarding their relative superiority, they go over to some person who is able to judge of the qualities of men and ask him‘Who amongst us is the best, in point of qualifications’
tenoktā ekaikaśyenādaḥ kāryaṃ sādhayitumudyacchata yenādaḥ kāryaṃ sādhyate sa vaḥ śreṣṭha ityuktāstathaivodyacchanta ātmano 'nyasya vā śreṣṭhavāṃ nirdhārayanti /	and he says in reply‘Each one of you separately go and do such and such an act; he amongst you who succeeds in doing it is the best’; and on this they go ahead and betake themselves to the act suggested, and ascertain the superiority of one or the other, through their success or otherwise at the said performance
tatemaṃ saṃvyavahāraṃ vāgādiṣu kalpitavatī śrutiḥ /	This same procedure the Śruti has asserted in the present context as, having been adopted by Speech and the other organs
kathaṃ nāma vidvānvāgādīnāmekaikasyābhāve 'pi jīvanaṃ dṛṣṭaṃ na tu prāṇasyeti prāṇaśreṣṭhatāṃ pratipadyateti / tathāca śrutiḥ kauṣītakināmjīvati vāgapeto mūkānhi pasyāmo jīvati cakṣurapeto	If this had not been done, how could even the learned person realise the superiority of Breath on the basis of the fact that from among Speech and the rest, while life is found to remain even on the departure of the others, but not on the departure of Breath? To the same end is the following text of the Kauṣītakins‘Bereft of speech, man lives,we see dumb persons;
'ndhānhi paśyāmo jīvati śrotrāpeto badhirānhi paśyāmo jīvati manopeto bālānhi paśyāmo	bereft of eyes, man lives,we see the blind; bereft of ears, man lives,we see the deaf; bereft of mind, man lives, we see infants;
jīvati bāhucchinno jīvatyūrucchinnaḥityādyā //	with arms cut off, man lives; with legs cut off man lives etc, etc Kauṣītakin
iti cchāndogyopaniṣadi pañcamādhyāyasya prathamaḥ khaṇḍaḥ	End of Section of Discourse
sa hovāca kiṃ me 'nnaṃ bhaviṣyatīti / yat kiṃcid idam ā śvabhya ā śakunibhya iti hocuḥ /	He said‘What shall be my food?’They said‘Whatever there is, from dogs to birds’ This is the food forBreath;
tad vā etad anasyānnam /	‘Ana’ is his distinct name
na ha vā evaṃvidi kiṃcanānannaṃ bhavatīti //	For one who knows this, there is nothing that is notfood
sa hovāca mukhyaḥ prāṇaḥ kiṃ me 'nnaṃ bhaviṣyatīti / mukhyaṃ prāṇaṃ praṣṭāramiva kalpayitvā vāgādīnprativaktṝniva kalpayantī śrutirāhayadidaṃ loke 'nnajātaṃ prasiddhamā śvabhiḥ sahā'śakunibhyaḥ saha śakunibhiḥ sarvaprāṇināṃ yadannaṃ tattavānnamiti hocurvāgādaya iti /	Hethe principa Breathsaid‘What shall be my food?’Having imagined Breath to be the questioner, the Text imagines Speech and the rest to be the persons answering the question‘Whatever in this world is known as food,from dogs,ie including dogs,to birds, including birdsthe food of all living beings,that will be your food,so said Speech and the rest
prāṇasya sarvamannaṃ prāṇo 'ttā sarvasyānnasyetyevaṃ pratipattaye kalpitākhyāyikārūpādvyāvṛtya svena śrutirūpeṇā'hatadvā etadyatkiñcilloke prāṇibhirannamadyate 'nasya prāṇasya tadannaṃ prāṇenaiva tadadyata ityarthaḥ /	Everything is food for Breath, Breath is the eater of all food,in order to inculcate these truths, the text turns aside from the telling of the story, and makes an assertion of its ownThisie whatever food is eaten by living beings in the world,is food for Breath,ie it is all eaten by Breath alone
sarvaprakāraceṣṭāvyāptiguṇapradarśanārthamana iti prāṇasya pratyakṣaṃ nāma /	‘Ana’ is the distinct name, of Breath,as indicating the character of permeating through all forms of activity
prādyupasargapūrvatve hi viśeṣagatireva syāt /	The addition of the prefix ‘pra’ to ‘ana’, thus making up the term ‘Prāṇa’ would only serve to express some special feature of activity;
tathāca sarvānnānāmatturnāmagrahaṇamitīdaṃ pratyakṣaṃ nāmāna iti sarvānnānāmattuḥ sākṣādabhidhānam /	thus the text pronounces the name of the Eater of all foods‘Ana’ is the distinct namethe direct connoterof the Eater of all foods
na ha vā evaṃvidi yathoktaprāṇavidi prāṇo 'hamasmi sarvabhūtasthaḥ sarvānnānāmatteti tasminnevaṃvidi ha vai kiñcana kiñcidapi prāṇibhirādyaṃ sarvairanannamannādyaṃ na	For one who knows thisall that has been said regarding Breath,that ‘ am Breath subsisting in all living beings, the Eater of all foodsfor such a one, there is nothing that can be eaten by living beings,that is notfood;
bhavati sarvamevaṃvidyannaṃ bhavatītyarthaḥ /	that is, all edibles become food for him;
prāṇabhūtatvādviduṣaḥ /	and the reason for this lies in the fact that the man knowing this is Breath itself;
prāṇādvā eṣa udeti prāṇe 'stametiityupakramyaevaṃvido ha vā udeti sūrya evaṃvidyastametiiti śrutyantarāt //	as says the text, beginning with the words ‘He rises out of Breath, he sets in Breath’, and concluding with the words ‘from a person knowing this does the sun rise and in him does he set Bṛhadā
sa hovāca kiṃ me vāso bhaviṣyatīti /	He said‘What shall be my clothing?’they said‘Water’
tasmād vā etad aśiṣyantaḥ purastāc copariṣṭāc cādbhiḥ paridadhati /	Hence it is that when going to eat, people cover it, before as well as after, with water
lambhuko ha vāso bhavati / anagno ha bhavati //	He thus becomes the obtainer of clothing and does not remain naked
pūrvavadeva kalpanā /	HeBreathsaidagain The conversation, as before, is purely imaginary
kiṃ me vāso bhaviṣyatītyāpa iti hocurvāgādayaḥ /	‘What shall be my clothing?Speech and the rest replied‘Water’
yasmātprāṇasya vāsa āpastasmādvā etadaśiṣyanto bhoktavantaśca brāhmaṇā vidvāṃsa etatkurvanti / kim / adbhirvāsasthānīyābhiḥ purastādbhojanātpūrvamupariṣṭācca bhojanādūrdhvaṃ ca paridadhati paridhānaṃ kurvanti mukhyasya prāṇasya lambhuko sambhanaśīlo	Inasmuch as water is the clothing of Breath, when learned Brāhmaṇas are going to eat,ie while going to eat and after having eaten,they do this;what?Both before and after eating, they cover the Breath with water, which takes the place of clothing;ie they provide covering for the Principal Breath
vāso ha bhavati / vāsaso labdhaiva bhavatītyarthaḥ /	He thus becomes the obtainer of clothing,ie obtains clothing;
anagno ha bhavati /	and does not remain naked
vāsaso lambhukatvenārthasiddhaivānagnatetyanagno ha bhavatītyuttarīyavānbhavatītyetat /	As by obtaining clothing he would naturally cease to be naked, the addition of the phrase ‘does not remain naked’ should be understood to mean that he becomes supplied with the upper clothing also
bhokṣyamāṇasya bhuktavataśca yadācamanaṃ śuddhyarthaṃ vijñātaṃ tasminprāṇasya vāsa iti darśanamātramiha vidhīyate /	The sipping of water that is done when one is going to eat and after one has eaten is known to be for the purpose of purification; hence what is said in the present text should be taken to mean only that the water thus sipped should be looked upon as the ‘clothing’ of Breath
adbhiḥ paridadhatīti nā'camanāntaram /	The phrase ‘covers it up with water’ does not enjoin any other watersipping apart from the two wellknown ones
yathā laukikaiḥ prāmibhiradyamānamannaṃ prāṇasyeti darśanamātraṃ tadvatkiṃ me 'nnaṃ kiṃ me vāsa ityādipraśnaprativacanayostulyatvāt / yadyācamanamapūrvaṃ tādarthyena kriyate tadā kṛmyādyannamapi prāṇasya bhakṣyatvena vihitaṃ syāt /	Just as when ordinary people eat food and it is said that ‘it is the food for Breath’, what is meant is only that the food should be looked upon as being for Breath The question and answer in both cases being similar‘What shall be my food?What shall be my clothing?’If a fresh watersipping were regarded as enjoined here directly for its own sake,as an independent act by itself then the statement of all food being for Breath would have to be regarded as an actual injunction, meaning that ‘all things should be eateneven insects etc’ which is absurd
tulyayorvijñānārthayoḥ prasnaprativacanayoḥ prakaraṇasya vijñānārthatvādardhajaratīyo nyāyo na yuktaḥ kalpayitum / yattu prasiddhamācamanaṃ prāyatyārthaṃ prāṇasyānagnatārthaṃ ca na bhavatītyucyate na tathā vayamācamanamubhayārthaṃ brūmaḥ / kiṃ tarhi prāyatyārthācamanasādhanabhūtā āpaḥ prāṇasya vāsa iti darśanaṃ codyata iti brūmaḥ /	looked uponas ‘food’ and ‘clothing and it would not be right to adopt the ‘half and half method’ of interpreting and taking the fresh statement, regarding food, as laying down the viewing of things in a certain way, and the second statement, regarding clothing, as an actual direct injunction of an independent watersipping As for the argument that the wellknown watersipping cannot serve both the purposesthat of purifying, and that of saving Breath from being nakedwe do not say that the watersipping is for both these purposes, What we do atsserts that the water that is used for the purificatory sipping should be looked upon as the ‘clothing’ for Breath,
tatrā'camanasyobhayārthatvaprasaṅgadoṣacodanānupapannā /	So that the urging of the objection that ‘the watersipping cannot serve both purposes is highly unreasonable
vāsortha evā'camane taddarśanaṃ syāditi cet / na / vāsojñānārthavākye vāsorthāpūrvācamanavidhāne tatrānagnatārthatvadṛṣṭividhāne ca vākyabhedaḥ ācamanasya tadarthatvamanyārthatvaṃ ceti / pramāṇābhāvāt //	as the text is for the purpose of making known what is the ‘clothing’and if this was taken as enjoining fresh watersipping for the providing of clothing,and there were also the other injunction of looking upon it as such,then this would involve syntactical splitand further, there is no authority for the view that the watersipping is for that purpose and also for another
tad dhaitat satyakāmo jābālo gośrutaye vaiyāghrapadyāyoktvovāca / yady apy enac chuṣkāya sthāṇave brūyāj jāyerann evāsmiñ chākhāḥ praroheyuḥ palāśānīti //	SatyakāmaJābāla, having expounded this to GośrutiVaiyāghrapadya, said‘If one were to say this to a dry stump, branches would shoot forth and leaves would sprout up from it’
tadetatprāṇadarśanaṃ stūyate /	This philosophy of the Breath is now eulogised
katham / taddhaitatprāṇadarśanaṃ satyakāmo jābālo gośrutaye nāmnā vaiyāghrapadyāya vyāghrapado 'patyaṃ vaiyāghrapadyastasmai gośrutyākhyāyoktvovācānyadapi	In what way?Thisphilosophy of the BreathSatyakāmaJābālahaving expounded to Gośruti by name,the son of Vyāghrapada, saidsomething more, in the shape of the following‘What was it that he said?’
vakṣyamāṇaṃ vacaḥ / kiṃ taduvācetyāhayadyapi śuṣkāya sthāṇava etaddarśanaṃ brūyātprāṇavijjāyerannutpadyerannevāsminsthāṇau śākhāḥ praroheyuśca palāśāni patrāmi,	AnswerIf oneconversant with the Philosophy of the Breathwere to sayexpoundthis Philosophy of the Breathto a dry stump, branches would shoot forth, and leaves would sprout out;
kimu jīvate puruṣāya brūyāditi //	what would it not do to a living man?’
atha yadi mahaj jigamiṣet, amāvāsyāyām dīkṣitvā paurṇamāsyāṃ rātrau sarvauṣadhasya mantham dadhimadhunor upamathya jyeṣṭhāya śreṣṭhāya svāhety agnāv ājyasya hutvā manthe	If one desires to attain the Great, then, having become initiated on the Moonless Day, he should, on the night of the Fullmoon, stirup with curd and honey, the mash of all herbs, and then offerelibation of clarified butter into the fire, saying‘Svāhā to the Oldest and the Best’and throw the remnant into the Mash
