input_text	target_text
sace labheyā nipakaṃ sapraṃñaṃ sāddhiṃcaraṃ sādhuvihāradhīraṃ |	If you should find a prudent, wise companion, one who lives well, a wise one,
adhibhūya sabbāṇi pariśravāṇi careyā tenāttamano satīmā ||	overcoming all your troubles you should live with that one, glad and mindful.
no ce labheyā nipakaṃ sapraṃñaṃ sāddhiṃcaraṃ sādhuvihāradhīraṃ |	If you do not find a prudent, wise companion, one who lives well, a wise one,
rājā va rāṣṭaṃ vijitaṃ prahāya eko ccare mātaṃgāranne va nāgo ||	like a king who abandons his conquered kingdom, one should live alone like a solitary elephant in the forest.
ekassa caritaṃ śreyo nāsti bāle bitīyatā |	It is better to live alone, there can be no companionship with a fool,
eko ccare na ca pāpāni kayirā appussuko mātaṃgāranne va nāgo ||	one should live alone and not do anything bad, unconcerned like a solitary elephant in the forest.
chandadoṣabhayā mohā yo dhammaṃ ativattati |	He who, through desire, hatred, fear or delusion, transgresses Dhamma,
nīhīrate tassa yaśo kālapakkhe va candramā ||	his fame diminishes, like the moon in the dark fortnight.
chandadoṣabhayā mohā yo dhammaṃ nātivattati |	He who, through desire, hatred, fear or delusion, does not transgress Dhamma,
āpūrate tassa yaśo śuklapakkhe va candramā ||	his fame increases, like the moon in the bright fortnight.
jamavarggaḥ	The Chapter about the Pairs
ye keci śokā paridevitaṃ vā dukkhaṃ va lokamhi anekarūpaṃ |	Whatever griefs or lamentations there are, and the many kinds of suffering in the world,
priyaṃ paṭicca prabhavanti ete priye asante na bhavanti ete ||	these all arise because of love, without loves, these do not originate.
tassā hi te sukhino vītaśokā yesaṃ priyaṃ nāsti kahiṃci loke |	Therefore they are happy and free from grief, who are without love for anything in the world,
tassā aśokaṃ virajaṃ prātthayānā priyaṃ na kayirātha kahiṃci loke ||	therefore those wanting what is griefless, dust-free, should not have love for anything in the world.
gataddhuno viśokassa vipramuttassa sabbahiṃ |	For the one who has reached his goal, who grieves not, being released on all sides,
sabbaggrantaprahīṇassa paridāhā na vijjati ||	who has abandoned all the knots, no consuming fever is found.
yesāṃ sannicayo nāsti ye pariñātabhojanā |	For those who have no stores, those who comprehend food aright,
ākāśe va śakuntānāṃ padaṃ tesāṃ durannayaṃ ||	like the birds in the sky, their footprint is hard to find.
śānto tassa mano hoti śāntā vācā ca kaṃmu ca |	His mind is calm, his speech and his actions are also calm,
saṃmadaṃñāvimuttassa upaśāntassa tāyino ||	liberated by right knowledge, such a one is truly peaceful.
yassendriyāṇi samathaṃ gatāni aśśā yathā sārathinā sudāntā |	For the one whose senses are balanced, like horses well-trained by their charioteer,
prahīṇamānassa anāsavassa devā pi tassa prihayanti tāyino ||	who has abandoned conceit, who is without pollutants—even the gods envy such a one.
dāntaṃ nayanti samitiṃ dāntaṃ rājābhirūhati |	They lead one trained into a crowd, a king mounts one who has been trained,
dānto śreṣṭho manuṣyesu yo ’tivāde titikkhati ||	amongst humans one trained is best, the one who can endure reproof.
varam assatarā dāntā ājāneyā ca sendhavā |	Noble are the well-trained horses, the well-bred horses from Sindh,
kuñjarā va mahānāgā āttā dānto tato varaṃ ||	and the great tusker elephants, and even more noble than that is the one who has trained himself.
na hi tehi jānajātehi tāṃ bhūmim abhisaṃbhave |	Not by these vehicles can one reach that place,
yathā ’ttanā sudāntena dānto dāntena gacchati ||	as one through training himself well, being trained by the training, goes.
śelo yathā ekaghano vātena na samīrati |	Just as solid rock is not shaken by the wind,
evaṃ nindāpraśaṃsāsu na samīranti paṇḍitā ||	so the wise are not shaken by blame or praise.
anikkaṣāyo kāṣāyaṃ yo vastaṃ paridhehiti |	The one who, while still impure, would wear the renunciant’s robe,
apeto damasaccena na so kāṣāyam arihati ||	unendowed with restraint and truth, is not worthy of the renunciant’s robe.
yo tu vāntakaṣāyassa śīlehi susamāhito |	The one who, steady in virtue, throws out any impurity,
upeto damasaccena sa ve kāṣāyam arihati ||	endowed with restraint and truth, is indeed worthy of the renunciant’s robe.
śokavarggaḥ	The Chapter about Grief
manujassa pramattacāriṇo tahnāvaddhatimālutā iva |	For a human who lives life heedlessly craving increases like a clinging creeper,
sā prāplavate hurāhuraṃ phalameṣī va vanamhi vānnaro ||	he rushes from one place to another like a monkey seeking fruit in the forest.
yaṃ cesā sahate jaṃmī tahnā loke duraccayā |	That one who is overcome by these low cravings in the world, which are difficult to get past,
śokā tassa pravaddhaṃti ovaṭṭhā beruṇā iva ||	for him griefs increase like grass that has been rained upon.
yo cetāṃ sahate jaṃmiṃ tahnāṃ loke duraccayāṃ |	Whoever overcomes this low craving in the world, which is difficult to get past,
śokā tassa vivaṭṭanti udabindū va pukkhare ||	griefs roll from him like a drop of water on a lotus.
taṃ vo vademi bhadraṃ vo yāvaṃt-ittha samāgatā |	This I say to you: “Good luck to as many as have assembled here”,
tahnāṃ samūlāṃ khaṇatha uṣīrātthī va beruṇiṃ |	dig up the root of craving, like one seeking the root digs up grass,
tahnāya khatamūlāya nāsti śokā kato bhayaṃ ||	for one who has cut off the root of craving there are no griefs, how is there fear?
tahnabitiyo puruṣo drīgham addhāna saṃsari |	A man with craving as companion has a long time in births-and-deaths,
etthabhāvaṃñathābhāvaṃ tattha tattha punappuno ||	in this existence or another existence, here and there, again and again.
etam ādīnavaṃ nyāttā tahnā dukkhassa saṃbhavaṃ |	Having understood the danger, that craving is the origination of suffering,
vītatahno anādāno sato bhikkhū parivraje ||	free from craving, without attachment, the monastic should wander mindfully.
na taṃ dṛḍhaṃ bandhanam āhu dhīrā yad āyasaṃ dārujaṃ babbajaṃ vā |	That bondage is not so strong say the wise, that is made of iron or wood or reeds,
sārattarattā maṇikuṇḍalesu putresu dāresu ca yā apekhā ||	impassioned and excited they seek out jewels and earrings and children and wives—
etaṃ dṛḍhaṃ bandhanam āhu dhīrā ohārimaṃ sukhumaṃ dupramuñcaṃ |	that bondage is strong say the wise, dragging down, subtle, hard to get free from,
etappi chettāna vrajanti santo anapekhino sabbadukhaṃ prahāya ||	having cut this down the good go peacefully seeking nothing, abandoning all suffering.
na kāhāpaṇavāsena ttrettī kāmesu vijjati |	Not through a rain of coins is satisfaction found for sense desires,
appāssādā dukhā kāmā iti viṃñāya paṇḍito ||	the wise one knowing: “Sense pleasures have little joy, much suffering,”
api divvesu kāmesu ratiṃ so nādhigacchati ||	does not find delight even in heavenly pleasures.
tahnakkhayarato hoti saṃmasaṃbuddhasāvako ||	The disciple of the Perfect Sambuddha delights in craving’s destruction.
vītatahno anādāno niruttīpadakovido |	Without craving, without attachment, skilled in words and their explanation,
akkharāṇāṃ sannipātena ñāyyā pūrvvāparāṇi so |	knowing how syllables are arranged, which come before and which after,
sa ve antimaśārīro mahāpraṃño ti vuccati ||	the one in his final body is said to be one of great wisdom.
saritāni sinehitāni ca somanassāni bhavanti jantuno |	There are flowing streams of affection and mental happinesses for a person,
ye sātasitā sukheṣiṇo te ve jātijaropagā ||	pleasure-dependent they seek happiness, those people undergo birth and old age.
tahnāya purekkhaṭā prajā parisappanti śaśo va bādhito |	People surrounded by craving crawl round like a hare in a trap,
te saṃjotanasaṅgasattā gabbham upenti punappuno ciraṃ pi ||	they are attached and clinging to fetters, they come back again and again to the womb for a long time.
muñca pure muñca pacchato majjhe muñca bhavassa pāragū |	Be free of the past, be free of the future, be free of the present, after crossing over all existence,
sabbattha vimuttamānaso na puno jātijarām upehisi ||	with mind liberated in every way, you will not return to birth and old age.
yo nivvanadho vanā tu mutto vanamutto vanam eva dhāvati |	The one who is free from desires, who is free in the forest, though free from the forest, runs back to the forest,
taṃ puggalam etha paśśatha mutto bandhanam eva dhāvati ||	come here and look at that person, though free, he runs back to bondage.
ttriṇadoṣāṇi khettrāṇi rāgadoṣā ayaṃ prajā |	Fields are ruined by grassy weeds, these people are ruined by passion,
tassā hi vītarāgesu dinnaṃ hoti mahapphalaṃ ||	therefore there is great fruit for that given to those without passion.
ttriṇadoṣāṇi khettrāṇi doṣadoṣā ayaṃ prajā |	Fields are ruined by grassy weeds, these people are ruined by hatred,
tassā hi vītadoṣesu dinnaṃ hoti mahapphalaṃ ||	therefore there is great fruit for that given to those without hatred.
ttriṇadoṣāṇi khettrāṇi mohadoṣā ayaṃ prajā |	Fields are ruined by grassy weeds, these people are ruined by delusion,
tassā hi vītamohesu dinnaṃ hoti mahapphalaṃ ||	therefore there is great fruit for that given to those without delusion.
ramaṇīyaṃ vatā ’raṇṇaṃ yamhiṃ na ramate jano |	The delightful wilderness wherein the people do not delight,
vītarāgāttha raṃsanti nāṃñe kāmagaveṣiṇo ||	those without passion delight therein, but not those who seek sense pleasures.
yathā pi mūle anupadrute dṛḍhe chinno pi rukkho punar-īva jāyati |	Just as when the root remains firm and undamaged though the tree was cut down, it springs up again,
em eva tahnānuśaye anūhate nivvattate dukkham idaṃ punappuno ||	so when the tendency to craving is not rooted out this suffering appears again and again.
tahnavarggaḥ	The Chapter about Craving
2. apramāda	2. The Chapter about Heedfulness
apramādo amatapadaṃ pramādo maccuno padaṃ |	Heedfulness is the deathless state, heedlessness the state of the dead,
apramattā na mrīyanti ye pramattā yathā matā ||	the heedful do not die, but those who are heedless are as if dead.
etaṃ viśeṣataṃ nyāttā apramādamhi paṇḍitā |	The wise, understanding this difference in regard to heedfulness,
apramāde pramodanti ayirāṇāṃ gocare ratā ||	rejoice in heedfulness, delight in the domain of the Noble Ones.
te jhāyino sātatikā niccaṃ dṛḍhaparākramā |	Those who meditate all the time, constant and firm in their effort,
phusanti dhīrā nibbāṇaṃ yogacchemaṃ anuttaraṃ ||	those wise ones reach Nibbāna, the unsurpassed release from all bonds.
pramādam anuyuñjanti bālā dummedhino janā |	The foolish and stupid people cultivate heedlessness,
apramādan tu medhāvī dhanaṃ śreṣṭhaṃ va rakkhati ||	but the sagacious one guards heedfulness just as his greatest wealth.
apramatto pramattesu suttesu bahujāgaro |	Heedful amongst the heedless ones, wakeful amongst the ones who sleep,
abalāśśam va śīghrāśśo hettā yāti sumedhaso ||	like a swift horse who abandons a weak horse, the true sage moves on.
pramādam apramādena yadā nudati paṇḍito |	When the wise one eliminates heedlessness with his heedfulness,
praṃñāprāsādam āruyha aśoko śokiniṃ prajāṃ |	and mounts the palace of wisdom, griefless, he looks on grieving people;
parvvataṭṭho va bhoma ’ṭṭhe dhīro bāle avecchati ||	the wise one, like one standing on a mountain, looks down on the fools who are standing on the plains.
pūrvve cāpi pramajjittā yo pacchā na pramajjati |	Whoever before was heedless, but later is not heedless,
so imaṃ lokaṃ prabhāseti abhramutto va candramā ||	that one shines brightly in this world like the moon released from a cloud.
so imāṃ visattikāṃ loke sato samativattati ||	he, being mindful, can overcome clinging to the world.
apramādagaru bhikkhū pramāde bhayadaṃśino |	A monastic who values heedfulness, seeing danger in heedlessness,
abhavvo parihāṇāya nibbāṇasseva santike ||	is unable to fall away: he is well-nigh to Nibbāna.
saṃyojanam aṇutthūlaṃ dahaṃ aggīva gacchati |	advances like burning fire against the fetter, small or large.
apramādaratā hotha saṃ cittam anurakkhatha ||	You should delight in heedfulness, you should always protect your mind,
duggā uddharathāttānaṃ pake sanno va kuñjaro |	you should raise yourself from this pit like the tusker sunk in the mud.
apramāde pramudino nipakā śīlasaṃvṛtā ||	Rejoicing in heedfulness, prudent, restrained in virtue,
te ve kālena prācchanti yattha prātto na śocati |	in good time they attain that where, once attained, there is no grieving.
mā pramāde pramodetha na kāmaratisandhave ||	Do not rejoice in heedlessness, unacquainted with delight in sensual pleasure,
evaṃ viharan ātāpī śāntacitto ’nuddhato |	living in this way, ardent, with mind at peace, not proud,
cetośamatham anuyutto dukkhassantakaro siyā ||	devoted to mental calm, he will make an end to suffering.
uṭṭheyā na pramajjeyā dhammaṃ sucaritaṃ care |	One should strive, not be heedless, one should live by Dhamma, with good conduct,
dhammacārī sukhaṃ śeti aśśiṃ loke paramhi ca ||	living by Dhamma one lives at ease in this world and the next.
uṭṭhāṇavato satīmato śucikammassa niśāmmakāriṇo |	For he who is active, mindful, pure in deeds, considerate,
saṃyyatassa ca dhammajīvino apramattassa yaśo ’ssa vaddhati ||	self-controlled, living by Dhamma, heedful, his fame increases.
uṭṭhāṇenā ’pramādena saṃyyamena damena ca |	Through activity, heedfulness, through self-control and through restraint,
dīpaṃ kayirātha medhāvī yam ogho nādhipūrati ||	the sage should make an island that no flood waters can overwhelm.
uṭṭhāṇakālamhi anuṭṭhihāno yuvā balī ālasiko upoko |	The one who has not energy at a time for energy, youthful, strong, lazy in his home,
saṃsannasaṃkappamano kusīdo praṃñāya māggaṃ alaso na yeti ||	whose mind lacks right intention and is indolent—the lazy one does not go along wisdom’s path.
hīnaṃ dhammaṃ na seveyā pramādena na samvase |	One should not follow lowly things, one should not abide heedlessly,
micchadṛṣṭiṃ na seveyā na siyā lokavaddhano ||	one should not follow a wrong view, one should not foster worldliness.
na tāvatā dhammadharo yāvatā bahu bhāṣati |	One is not a Dhamma-bearer merely through speaking much,
yo tu appam pi sottāna dhammaṃ kāyena phassaye |	but the one who, having heard a little, would see Dhamma for himself,
sa ve dhammadharo hoti yo dhamme na pramajjati ||	is one who bears Dhamma, the one who is not heedless regarding Dhamma.
dhammaṃ vicinātha apramattā mā vo kāmaguṇā bhrameṃsu cittaṃ |	Consider the Dhamma heedfully, do not let your mind swirl around in strands of desire,
mā lohaguḍe gilaṃ pramatto kraṇḍe dukkham idan ti dayhamāno ||	do not, heedless, swallow a hot iron ball, and, while burning, cry: ‘This is suffering.’
apramādavarggaḥ	The Chapter about Heedfulness
bahū veśaraṇaṃ yānti parvvate ca vanāni ca |	Many people shaken by fear go for refuge
vastūni rukkhacittāṇi manuṣyā bhayatajjitā ||	to mountains and woods, to places with beautiful trees.
na etaṃ śaraṇaṃ khemmaṃ na etaṃ śaraṇam uttamaṃ |	That is not a secure refuge, that is not the refuge supreme,
etaṃ śaraṇam āgaṃma sabbadukkhā pramuccati ||	nor is it the refuge to come to that liberates from all suffering.
yo tu buddhañ ca dhammañ ca saghaṃ ca śaraṇaṃ gato |	Whoever has gone for refuge to the Buddha, the Dhamma and the Saṅgha,
cattāri ca ariyasaccāni yathābhūtāni paśśati ||	and who sees as it really is the four noble truths.
etaṃ ve śaraṇaṃ khemmaṃ etaṃ śaraṇam uttamaṃ |	That is a secure refuge, that is the refuge supreme,
etaṃ śaraṇam āgamma sabbadukkhā pramuccati ||	that is the refuge to come to that liberates from all suffering.
gavāṃ ce taramāṇānāṃ jihmaṃ gacchati puṅgavo |	If, when cows are crossing a road, their leader goes crookedly,
sabbā tā jihmaṃ gacchaṃti nette jihmagate sati ||	they all will go crookedly, as their guide crookedly does go.
evām eva manuṣyesu yo hoti śreṣṭhasaṃmato |	So it is with humans, he who is agreed upon as chief,
sa ce adhaṃmaṃ carati prāg eva itarā prajā ||	if he lives unrighteously, so will other people.
gavāṃ ce taramāṇānāṃ ujjuṃ gacchati puṅgavo |	If, when cows are crossing a road, their leader goes straight,
sabbā tā ujjuṃ gacchaṃti nette ujjugate sati ||	they all will go straight, as their guide straight does go;
evām eva manuṣyesu yo hoti śreṣṭhasaṃmato |	so it is with humans, he who is agreed upon as chief,
sa ce va dhaṃmaṃ carati prāg eva itarā prajā ||	if he lives righteously, so will other people.
dhaṃmaṃ care sucaritaṃ na naṃ duccaritaṃ care |	One should live by Dhamma, with good conduct, not with bad conduct,
brahmacārī sukhaṃ śeti assiṃ loke paramhi ca ||	living the holy life one lives at ease in this world and the next.
dhaṃmārāmo dhaṃmarato dhaṃmaṃ anuvicintayaṃ |	The one who finds pleasure in the Dhamma, delights in Dhamma, reflects on Dhamma,
dhammaṃ anussaraṃ bhikkhū dhammā na parihāyati ||	the monastic who remembers Dhamma, does not abandon the Dhamma.
dhammo have rakkhati dhammacārī dhammo sucinno sukhāya dahāti |	The Dhamma protects the one who lives by the Dhamma, the Dhamma well-practised is set on happiness,
esānuśaṃso dhamme sucinne na doggatiṃ gacchati dhammacārī ||	this is the advantage of the Dhamma well-practised, he who lives by the Dhamma does not go to a bad destination.
dhammo have rakkhati brahmacārī dhammo sucinno sukhāya dahāti |	The Dhamma protects the one who lives by the holy life, the Dhamma well-practised is set on happiness,
esā ’nuśaṃso dhamme sucinne na doggatiṃ gacchati brahmacārī ||	this is the advantage of the Dhamma well-practised, he who lives the holy life does not go to a bad destination.
acarittā brahmaceraṃ aladdhā yovvane dhanaṃ |	Not having lived the holy life, not having gained wealth in their youth,
jinnakroṃcā va jhāyaṃti jhīnamacche va pallare ||	they waste away like herons in a small lake devoid of fish.
śenti cāpādhikinno vā porāṇāni a ’nutthunaṃ ||	they lie like shafts scattered from a bow, wailing about things in the past.
ujjujjanti satīmanto na nikete ramaṃti te |	The mindful ones who are striving do not delight in a dwelling,
haṃsā va pallaraṃ hettā okam okaṃ jahaṃti te ||	like geese who abandon a lake, they abandon fondness for homes.
haṃsā va ādiccapathe vehāyasaṃ yānti iddhiyā |	As geese go through the path of the sky, they go through the sky by their power,
niyyāṃti dhīrā lokamhi mārasenaṃ pramaddiya ||	the wise are led out in the world, after crushing Māra and his army.
kin nu hāśo kim ānando niccaṃ prajjalite sati |	Why this laughter, why this joy, when the world is constantly burning,
andhakāramhi prakkhittā pradīpaṃ na gaveṣatha ||	when thrown into darkness, do you not seek for a light?
praccaṃtimaṃ vā nagaraṃ guttaṃ sāntarabāhiraṃ |	As a town in the border districts is guarded on the inside and the outside,
evaṃ rakkhatha āttānaṃ khaṇo vo mā upaccagū |	so one should protect oneself, and you should not let the moment pass,
na muṇḍabhāvā śamaṇo avrato alikaṃ bhaṇaṃ |	Not through being shaven is one an ascetic, if one lacks vows, speaks lies,
icchālobhasamāpanno śamaṇo kiṃ bhaviṣyati ||	and is endowed with greed and desire, how will one be an ascetic?
yo tu śameti pāpāni aṇutthūlāni sabbaśo |	The one who quenches wicked deeds, small and great, in every way—
śamaṇā eva pāpānāṃ śamaṇo ti pravuccati ||	through the appeasing of wicked deeds he is said to be an ascetic.
yassa chattrīśatiṃ sotā mānāphassamayā bhriśā |	For the one in whom thirty-six streams consisting of contact with conceit are strong,
vāhā vahanti dudriṣṭiṃ saṃkappā ggredhaniśśitā ||	the one with wrong view is carried off by the flow of his greedy intentions.
krodhaṃ jahe viprajaheya mānaṃ saṃyojanaṃ sabbam atikrameyā |	One should abandon anger, one should abandon conceit, one should overcome every fetter,
taṃ nāmarūpamhi asajjamānaṃ akiṃcanaṃ nānupatanti dukkhā ||	without clinging to mind and bodily form, sufferings never do befall the one having no possessions.
śaraṇavarggaḥ	The Chapter about Refuge
appakātemanuṣyesu ye janāpāragāmino |	Amongst humans few people go beyond,
athāyam itarā prajā tīram evānudhāvati ||	the rest of the people run down the bank,
ye ca kho saṃmadākkhāte dhamme dhaṃmānuvattino |	but those who live righteously, conforming with this well-taught Dhamma,
te janā pāram ehiṃti maccudheyaṃ suduttaraṃ ||	those folk will go beyond the realm of death, which is very hard to cross.
kihne dhamme viprahāya śukre bhāvetha paṇḍitā |	Having abandoned the dark state, the wise ones should develop the bright,
okā anokam āgaṃma viveko yattha dūramaṃ ||	having gone forth to homelessness from home; in solitude, where it is hard to delight,
tatthābhiratim eṣāṇā hettā kāme akiṃcanā |	one should seek to delight in that place, having given up sense pleasures, and having no possessions,
payirodametha āttānaṃ cittaṃ kileśehi sabbaśo ||	he should purify the self of defilements of mind in every way.
yassa saṃbodhiaṃgehi samaṃ cittaṃ subhāvitaṃ |	For he who has well developed with peaceful mind the factors of complete awakening,
āttānapaṭinissagge anupādāya ye ratā |	having given up the self, those who delight in being unattached,
khīṇāsavā jutīmanto te loke parinivṛtā ||	pollutant-free, shining forth, are emancipated in the world.
yadahi kiccaṃ tad apaviddhaṃ akiccaṃ puna kīrati |	That to be done is rejected, but what is not to be done is done,
unnaddhānāṃ pramattānāṃ tesaṃ vaddhaṃti āsavā ||	for the insolent, the heedless, their pollutants increase.
yesaṃ ca susamāraddhā niccaṃ kāyagatā satī |	But for those who always properly undertake mindfulness of the body
akiccaṃ te na sevaṃti kicce sātaccakāriṇo |	who do not practice what is not to be done, persisting in what is to be done,
satānāṃ samprajānānāṃ tesaṃ khīyaṃti āsavā ||	for those mindful ones, those fully aware, their pollutants are destroyed.
paravajjānupaśśīnāṃ niccaṃ ojjhāyasaṃñinā |	Those who look for others’ fault, who constantly perceive offence,
āsavā tesaṃ vaddhanti ārā te āsavakkhayā ||	for them the pollutants increase, they are far from their destruction.
jāgarikām anuyuttānāṃ ahorāttānuśikkhiṇāṃ |	For those devoted to being alert, who train both by day and by night,
nibbāṇe adhimuttānāṃ atthaṃ gacchaṃti āsavā ||	who are intent on Nibbāna, the pollutants are laid to rest.
yesā ’savā parikkhīṇā āhāre ca aniśśitā |	For those whose pollutants are destroyed, who are not dependent on the foods,
śuṃñatā ānimitto ca vimogho yesa gocaro |	for those whose resort is the liberation that is empty or signless,
na hi śīlavrateneva bāhuśoccena vā puna |	Not even through virtue or vows, or again through great learning,
atha vā samādhilābhena vivittaśayanena vā ||	or through the attainment of concentration, or through a secluded dwelling,
phusāma nekkhaṃmasukhaṃ apṛthujjanasevitaṃ |	do we attain the happiness of renunciation, not practised by worldly people;
bhikkhū viśśāsamāpādi aprāpyāsavakkhayaṃ ||	let a monastic not be confident as long as the destruction of the pollutants is unattained.
nāyaṃ pramajjituṃ kālo ’prāpyāsavakkhayaṃ |	This is not the time to be heedless, while the destruction of the pollutants is unattained,
pramattaṃ dukham anneti sīhaṃ vā mṛgamātikā |	heedless he follows suffering, like the mother of deer follows the lion.
gabbham eke okraṃmanti nirayaṃ pāpakaṃmuṇo |	Some fall back into the womb, but those who are wicked in the underworld,
saggaṃ sugatino yānti parinivvānti anāsavā ||	the righteous go to heaven, those who are pollutant-free are emancipated.
yathā hrado ’ssa gaṃbhīro viprasanno anāvilo |	Like a lake that is deep, clear and unruffled,
evaṃ dhaṃmāṇi śottāna viprasīdaṃti paṇḍitā ||	just so the wise are confident after listening to Dhamma.
yassa jitaṃ nā ’ppajjīyati jitam assā na upeti antako |	He whose victory cannot be undone, whose victory does not come to an end,
taṃ buddham anomanikramaṃ apadaṃ kena padena nehisi ||	the Buddha, the one of superior effort, by what path will you lead the pathless one?
yassa jālinī visattikā tahnā nāsti kahiṃ ci netaye |	For him there is no desire, attachment, or craving to lead him anywhere,
taṃ buddham anantagocaraṃ apadaṃ kena padena nehisi ||	the Buddha, whose range is endless, by what path will you lead the pathless one?
āsavavarggaḥ	The Chapter about the Pollutants
18. dadantī	18. The Chapter about Giving
dadantiveyathāśraddhaṃ yathāprasādanaṃ janā |	The people give according to faith, according to their confidence,
tattha yo duṃmano hoti paresaṃ pānabhojane |	herein the one who becomes depressed because of food and drink given to others,
na so divā ca rātto ca samādhim adhigacchati ||	does not, either by day or night, attain to good concentration.
yassa cetaṃ samucchinnaṃ mūlo ’gghaccaṃ samūhataṃ |	For the one in whom this depression is cut off, destroyed at the root, dug up,
sa ve divā ca rātto ca samādhim adhigacchati ||	does, by day and night, attain to good concentration.
aśśo va bhadro kaṣāya puṭṭho ātāpino saviṃgaṇo carāṇo |	Like a good horse touched by the whip, living ardent and spiritually intense.
śraddhāya sīlena ca vīriyeṇa ca samādhinā dhammavipaśśanāya ca |	Having faith, virtue and energy, concentration and insight into the Dhamma,
te khāntisoracchasamādhisaṃṭhitā śutassa praṃñāya ca sāram ajjhagū ||	well-established in patience, meekness and concentration, they have come to the essence of wisdom and learning.
yo driṣṭe dhaṃme labhati śraddhāṃ praṃñāṃ anuttarāṃ |	He who acquires faith and wisdom unsurpassed in this very life,
sa ve mahaddhano loke moham aṃñaṃ bahuṃ dhanaṃ ||	has great wealth in the world, other wealth, though great, is useless.
śraddho sīlena saṃpanno yaśabhogasamāhito |	The faithful one who is possessed of virtue, and has wealth and fame,
yaṃ yaṃ so bhajate deśaṃ tattha tattheva pūjiyo ||	whatever district he resorts to, right there and then he is worshipped.
śraddhābitiyaṃ puruṣaṃ carantaṃ na naṃ labheyā aśraddho va cāro |	Faith is a person’s travelling companion, he would not accept travelling without faith,
yaśo ca kittī ca tato nam eti saggaṃ ca gacche śarīraṃ prahāya ||	from that there will be fame and renown for him, and when he abandons the body he goes to heaven.
aśraddho akataṃñū ca saṃdhicchedo ca yo naro |	The person who is beyond mere faith, who knows that which is unmade, who has cut off rebirth-linking,
hatāvakāśo vāntāśo sa ve uttimaporuṣo ||	who has destroyed the occasion, who has thrown out hope and desire, is surely the person supreme.
kiccho buddhāna uppādo kicchā dhammassa deśanā |	It is rare the arising of Buddhas, rare the teaching of the Dhamma,
kiccho śraddhapaṭīlābho kicchaṃ māccāna jīvitaṃ ||	it is rare to acquire faith, rare is the life of mortals.
anavaṭṭhitacittassa saddhaṃmam avijānato |	For the one with unsettled mind, who does not know the True Dhamma,
pāriplavaprasādassa praṃñā na paripūrati ||	whose confidence is wavering, wisdom is unfulfilled.
nāprasannacittena duṣṭena kupitena vā |	For one who has a mind lacking confidence, that is base or agitated,
śakkam ājānituṃ dhammo sāraṃbhabahulena vā ||	and frequently impetuous, it is not possible to understand the Dhamma.
yo tu vinīya sāraṃbhaṃ aprasādaṃ ca cetaso |	He who has removed impetuosity, displeasure from his mind,
prasannacitto sumano sa ve nyāyyā subhāṣitaṃ ||	with confident mind, happy, he can understand well-spoken words.
manuṣyapaṭilābhena saggānāṃ gamanena ca |	Acquiring birth as a human, or going to the heavens,
pṛthivyām ekarājjena sotāpattiphalaṃ varaṃ ||	or having sole sovereignty over the earth—better is the fruit of stream-entry.
yassa śraddhā tathāgate acalā supratiṣṭhitā |	He whose faith in the Realised One is well-established and unmoveable,
śīlañ ca yassa kallāṇaṃ ayirakāntaṃ praśaṃsiyaṃ ||	whose virtue is beautiful, praised by the noble ones,
saṃghe prasādo yassa asti ujjubhūtañ ca daṃśanaṃ |	who has confidence in the Saṅgha, who sees uprightly,
adaridro ti tam āhu amoghaṃ tassa jīvitaṃ ||	he they say is ‘not poor’, his life is not in vain.
tassā śraddhañ ca śīlaṃ ca prasādaṃ dhammadaṃśane |	Therefore with faith, virtue, confidence and insight into Dhamma,
anuyuñjeya medhāvī saraṃ buddhāna śāsanaṃ ||	a sage should devote himself to the essence of the Buddhas’ dispensation.
dadantīvarggaḥ	The Chapter about Giving
caranti bālā dummedhā amitteṇa-r-iva āttanā |	Stupid fools live having themselves as their own foes,
karontā pāpakaṃ kammaṃ yaṃ hoti kaṭukapphalaṃ ||	committing wicked deeds, which produce bitter fruit.
kathañ ca taṃ kare kaṃmaṃ yaṃ kattā anutappati |	How could he do that deed, which, having done, one has regret,
yassa aṃśumukho rodaṃ vipākaṃ paṭisevati ||	for which he has tears on his face, as the result follows him round.
taṃ ca kaṃmaṃ kataṃ sādhu yaṃ kattā nānutappati |	But that deed is well done, which, having done, one has no regret,
yassa pratīto sumano vipākaṃ paṭisevati ||	for which he is pleased and happy, as the result follows him round.
yāvad eva anatthāya ñāttaṃ bālassa jāyati |	As far as learning arises for a fool, it is only to his disadvantage,
hanti bālassa śukrāṅggaṃ (?) muddham assa nipātaye ||	it destroys the fool’s good quality, and it will destroy his head.
asatāṃ bhāvanam icchanti purekkhārañ ca bhikkhusu |	He wishes for the respect that is lacking, and status amongst the monastics,
āvāsesu ca essariyaṃ pūjāṃ parakulesu ca ||	for control in the living quarters, and worship amongst good families:
mameva katamannentu gṛhī pravrajitā ca ye |	“Householders and renunciants should think this was done by me,
na me pratibalā assa kiccā ’kiccesu kesuci ||	let none be a match for me, in all to be done and not done”,
iti bālassa saṃkappo icchāmāno ca vaddhati |	so does the fool think, meanwhile his desires and conceit increase.
aṃñā hi lābhopaniśā aṃñā nibbāṇagāminī ||	For the means to gains is one thing, the path going to Nibbāna another,
evam etaṃ yathābhūtaṃ paśśaṃ buddhassa sāvako |	thus seeing this as it really is the disciple of the Buddha
