yaḥ soma sakhye tava raraṇat deva martyaḥ tam dakṣaḥ sacate kavi ḥ	O Soma, God, the mortal man who in thy friendship hath delight, Him doth the mighty Sage befriend.
apa tyāḥ asthuḥ anirāḥ amīvāḥ niḥ atrasan tamiṣīcīḥ abhaiṣuḥ ā somaḥ asmān aruhat vi hāyāḥ aganma yatra pra tirante āyuḥ	Our maladies have lost their strength and vanished: they feared, and passed away into the darkness. Soma hath risen in us, exceeding mighty, and we are come where men prolong existence.
yaḥ naḥ induḥ pitaraḥ hr̥t su pītaḥ amartyaḥ martyān āviveśa tasmai somāya haviṣā vidhema mr̥l̥īke asya su matau syāma	, Fathers, that Indu which our hearts have drunken, Immortal in himself, hath entered mortals. So let us serve this Soma with oblation, and rest securely in his grace and favour.
tvam soma pitr̥ bhiḥ sam vidānaḥ anu dyāvāpr̥thivī iti ā tatantha tasmai te indo iti haviṣā vidhema vayam syāma patayaḥ rayīṇām	Associate with the Fathers thou, O Soma, hast spread thyself abroad through earth and heaven. So with oblation let us serve thee, Indu, and so let us become the lords of riches,
trātāraḥ devāḥ adhi vocata naḥ mā naḥ ni drā īśata mā uta jalpiḥ vayam somasya viśvaha priyāsaḥ su vīrāsaḥ vidatham ā vadema	Give us your blessing, O ye Gods' preservers. Never may sleep or idle talk control us. But evermore may we, as friends of Soma, speak to the synod with brave sons around us.
tvam naḥ soma viśvataḥ vayaḥ dhāḥ tvam svaḥ vit ā viśa nr̥ cakṣāḥ tvam naḥ indo iti ūti bhiḥ sa joṣāḥ pāhi paścātāt uta vā purastāt	On all sides,. Soma, thou art our life-giver: aim of all eyes, light-finder, come within us. Indu, of one accord with thy protections both from behind and from before preserve us.
abhi pra vaḥ su rādhasam indram arca yathā vide yaḥ jaritr̥ bhyaḥ magha vā puru vasuḥ sahasreṇa iva śikṣati	TO you will I sing Indra's praise who gives good gifts as well we know; The praise of Maghavan who, rich in treasure, aids his singers with wealth thousandfold.
śatānīkāiva pra jigāti dhr̥ṣṇu yā hanti vr̥trāṇi dāśuṣe gireḥ iva pra rasāḥ asya pinvire datrāṇi puru bhojasaḥ	As with a hundred hosts, he rushes boldly on, and for the offerer slays his foes. As from a mountain flow the water-brooks, thus flow his gifts who feedeth many a one.
ā tvā sutāsaḥ indavaḥ madāḥ ye indra girvaṇaḥ āpaḥ na vajrin anu okyam saraḥ pr̥ṇanti śūra rādhase	The drops effused, the gladdening draughts, O Indra, Lover of the Son As waters seek the lake where they are wont to rest, fill thee, for bounty, Thunderer.
anehasam pra taraṇam vivakṣaṇam madhvaḥ svādiṣṭham īm piba ā yathā mandasānaḥ kirāsi naḥ pra kṣudrāiva tmanā dhr̥ṣat	The matchless draught that strengthens and gives eloquence, the sweetest of the meath drink thou, That in thy joy thou mayst scatter thy gifts o'er us, plenteously, even as the dust.
ā naḥ stomam upa dravat hiyānaḥ aśvaḥ na sotr̥ bhiḥ yam te svadhāvan svadayanti dhenavaḥ indra kaṇveṣu rātayaḥ	Come quickly to our laud, urged on by Soma-pressers like a horse- Laud, Godlike Indra, which milch-kine make sweet for thee: with Kaṇva's sons are gifts for thee.
ugram na vīram namasā upa sedima vi bhūtim akṣita vasum udrī iva vajrin avataḥ na siñcate kṣaranti indra dhītayaḥ	With homage have we sought thee as a Hero, strong, preeminent, with unfailing wealth. O Thunderer, as a plenteous spring pours forth its stream, so, Indra, flow our songs to thee.
yat ha nūnam yat vā yajñe yat vā pr̥thivyām adhi ataḥ naḥ yajñam āśu bhiḥ mahe mate ugraḥ ugrebhiḥ ā gahi	If now thou art at sacrifice, or if thou art upon the earth, Come thence, high-thoughted! to our sacrifice with the Swift, come, Mighty with the Mighty Ones.
ajirāsaḥ harayaḥ ye te āśavaḥ vātāḥ iva pra sakṣiṇaḥ yebhiḥ apatyam manuṣaḥ pari īyase yebhiḥ viśvam svaḥ dr̥śe	The active, fleet-foot, tawny Coursers that are thine are swift to victory, like the Wind, Wherewith thou goest round to visit Manus' seed, wherewith all heaven is visible.
etāvataḥ te īmahe indra sumnasya go mataḥ yathā pra āvaḥ magha van medhya atithim yathā nīpa atithim dhane	Indra, from thee so great we crave prosperity in wealth of kine, As, Maghavan, thou favouredst Medhyâtithi, and, in the fight, Nîpâtithi.
yathā kaṇve magha van trasadasyavi yathā pakthe daśa vraje yathā go śarye asanoḥ r̥jiśvani indra go mat hiraṇya vat	As, Maghavan, to Kaṇva, Trasadasyu, and to Paktha and Daṣavraja; As, Indra, to Goṣarya and R̥ijiṣvan, thou vouchsafedst wealth in kine and gold.
pra su śrutam su rādhasam arca śakram abhiṣṭaye yaḥ sunvate stuvate kāmyam vasu sahasreṇa iva maṁhate	Ṣakra I praise, to win his aid, far-famed, exceeding bountiful, Who gives, as 'twere in thousands, precious wealth to him who sheds the juice and worships him.
śata anīkāḥ hetayaḥ asya dustarāḥ indrasya sam iṣaḥ mahīḥ gir iḥ na bhujmā maghavat su pinvate yat īm sutāḥ amandiṣuḥ	Arrows with hundred points, unconquerable, are this Indra's n-dghty arms in war. He streams on liberal worshippers like a hill with springs, when juices poured have gladdened him.
yat īm sutāsaḥ indavaḥ abhi priyam amandiṣuḥ āpaḥ na dhāyi savanam me ā vaso iti dughāiva upa dāśuṣe	What time the flowing Soma-drops have gladdened with their taste the Friend, Like water, gracious Lord! were my libations made, like milch-kine to the worshipper.
anehasam vaḥ havamānam ūtaye madhvaḥ kṣaranti dhītayaḥ ā tvā vaso iti havamānāsaḥ indavaḥ upa stotreṣu dadhire	To him the peerless, who is calling you to give you aid, forth flow the drops of pleasant meath. The Soloa-drops which call on thee, O gracious Lord, have brought thee to our hymn of praise.
ā naḥ some su adhvare iyānaḥ atyaḥ na tośate yam te svadāvan svadanti gūrtyaḥ paure chandayase havam	He rushes hurrying like a steed to Soma that adorns our rite, Which hymns make sweet to thee, lover of pleasant food. The call to Paura thou dost love.
pra vīram ugram vivicim dhana spr̥tam vi bhūtim rādhasaḥ mahaḥ udrī iva vajrin avataḥ vasu tvanā sadā pīpetha dāśuṣe	Praise the strong, grasping Hero, winner of the spoil, ruling supreme oer mighty wealth. Like a full spring, O Thunderer, from thy store hast thou poured on the worshipper evermore.
yat ha nūnam parāvati yat vā pr̥thivyām divi yujānaḥ indra hari bhiḥ mahe mate r̥ṣvaḥ r̥ṣvebhiḥ ā gahi	Now whether thou be far away, or in the heavens, or on the earth, O Indra, mighty- thoughted, harnessing thy Bays, come Lofty with the Lofty Ones.
rathirāsaḥ harayaḥ ye te asridhaḥ ojaḥ vātasya piprati yebhiḥ ni dasyum manuṣaḥ ni ghoṣayaḥ yebhiḥ svar iti svaḥ pari īyase	The Bays who draw thy chariot, Steeds who injure none, surpass the wind's impetuous strength- With whom thou silencest the enemy of man, with whon; thou goest round the sky.
etāvataḥ te vaso iti vidyāma śūra navyasaḥ yathā pra āvaḥ etaśam kr̥tvye dhane yathā vaśam daśa vraje	O gracious Hero, may we learn anew to know thee as thou art: As in decisive fight thou holpest Etaṣa, or Vaṣa 'gainst Daṣavraja,
yathā kaṇve magha van medhe adhvare dīrgha nīthe damūnasi yathā go śarye asisāsaḥ adri vaḥ mayi gotram hari śriyam	As, Maghavan, to Kaṇva at the sacred feast, to Dîrghanîtha thine home-friend, As to Goṣarya thou, Stone-darter, gavest wealth, give me a gold-bright stall of kine.
yathā manau sām varaṇau somam indra apibaḥ sutam nīpa atithau magha van medhya atithau puṣṭi gau śruṣṭi gau sacā	As with Manu Sâmvaraṇi, Indra, thou drankest Soma juice, And, Maghavan, with Nîpâtithi, Medbyatithi, with Pushṭigu and Ṣrushṭigu,– 
pārṣadvāṇaḥ praskaṇvam sam asādayat śayānam jivrim uddhitam sahasrāṇi asisāsat gavām r̥ṣiḥ tvāūtaḥ dasyave vr̥kaḥ	The son of Pr̥ishadvâna was Praskaṇva's host, who lay decrepit and forlorn. Aided by thee the R̥ishi Dasyave-vr̥ika strove to obtain thousands of kine.
yaḥ ukthebhiḥ na vindhate cikit yaḥ r̥ṣi codanaḥ indram tam accha vada navyasyā matī ariṣyantam na bhojase	Lord of swift bounty, he will win e'en with a steed of worthless sort. This, Indra, must be told of thee who wilt perform heroic deeds.
yasmai arkam sapta śīrṣāṇam ānr̥cuḥ tri dhātum ut tame pade saḥ tu imā viśvā bhuvanāni cikradat āt it janiṣṭa paiṁsyam	He unto whom they sang the seven-headed hymn, three-parted, in the loftiest place, He sent his thunder down on all these living things, and so displayed heroic might.
yaḥ naḥ dātā vasūnām indram tam hūmahe vayam vidma hi asya su matim navīyasīm ghamema go mati vraje	We invocate that Indra who bestoweth precious things on us. Now do we know his newest favour; may we gain a stable that is full of kine.
yasmai tvam vaso iti dānāya śikṣasi saḥ rāyaḥ poṣam aśnute tam tvā vayam magha van indra girvaṇaḥ suta vantaḥ havāmahe	He whom thou aidest, gracious Lord, to give again, obtains great wealth to nourish him. We with our Soma ready, Lover of the Song! call, Indra Maghavan, on thee.
kadā cana starīḥ asi na indra saścasi dāśuṣe upa upa it nu magha van bhūyaḥ it nu te dānam devasya pr̥cyate	Ne'er art thou fruitless, Indra ne'er dost thou desert the worshipper But now, O Maghavan, thy bounty as a God is poured forth ever more and more.
pra yaḥ nanakṣe abhi ojasā krivim vadhaiḥ śuṣṇam ni ghoṣayan yadā it astambhīt prathayan amūm divam āt it janiṣṭa pārthivaḥ	He who hath overtaken Krivi with his might, and silenced Ṣushṇa with deathbolts,– When he supported yonder heaven and spread it out, then first the son of earth was born.
yasya ayam viśvaḥ āryaḥ dāsaḥ śevadhi pāḥ ariḥ tiraḥ cit arye ruśame pavīravi tubhya it saḥ ajyate rayiḥ	Good Lord of wealth is he to whom all Aryas, Dâsas here belong. Directly unto thee, the pious Ruṣama Pavîru, is that wealth brought nigh.
turaṇyavaḥ madhu mantam ghr̥ta ścutam viprāsaḥ arkam ānr̥cuḥ asme iti rayiḥ paprathe vr̥ṣṇyam śavaḥ asme iti suvānāsaḥ indavaḥ	In zealous haste the singers have sung forth a song distilling oil and rich in sweets. Riches have spread among us and heroic strength, with us are flowing Soma-drops.
yathā manau vivasvati somam śakra apibaḥ sutam yathā trite chandaḥ indra jujoṣasi āyau mādayase sacā	As, Ṣakra, thou with Manu called Vivasvan drankest Soma juice, As, Indra, thou didst love the hymn by Trita's side, so dost thou joy with Âyu now.
pr̥ṣadhre medhye mātariśvani indra suvāne amandathāḥ yathā somam daśa śipre daśa oṇye syūma raśmau r̥jūnasi	As thou with Mâtariṣvan, Medhya, Pr̥ishadhra, hast cheered thee Indra, with pressed juice, Drunk Soma with R̥ijûnas, Syûmaraṣmi, by Daṣoṇya's Daṣaṣipra's side.
yaḥ ukthā kevalā dadhe yaḥ somam dhr̥ṣitā apibat yasmai viṣṇuḥ trīṇi padā vi cakrame upa mitrasya dharma bhiḥ	Tis he who made the lauds his own and boldly drank the Soma juice, He to whom Vishṇu came striding his three wide steps, as Mitra's statutes ordered it.
yasya tvam indra stomeṣu cākanaḥ vāje vājin śatakrato itiśata krato tam tvā vayam sudughām iva go duhaḥ juhūmasi śravasyavaḥ	In whose laud thou didst joy, Indra, at the great deed, O Ṣatakratu, Mighty One! Seeking renown we call thee as the milkers call the cow who yields abundant milk.
yaḥ naḥ dātā saḥ naḥ pitā mahān ugraḥ īśāna kr̥t ayāman ugraḥ magha vā puru vasuḥ goḥ aśvasya pra dātu naḥ	He is our Sire who gives to us, Great, Mighty, ruling as he wills. Unsought, may he the Strong, Rich, Lord of ample wealth, give us of horses and of kine.
yasmai tvam vaso iti dānāya maṁhase saḥ rāyaḥ poṣam invati vasu yavaḥ vasu patim śata kratum stomaiḥ indram havāmahe	He to whom thou, Good Lord, givest that he may give increases wealth that nourishes. Eager for wealth we call on Indra, Lord of wealth, on Ṣatakratu with our lauds.
kadā cana pra yucchasi ubhe iti ni pāsi janmanī iti / turīya āditya havanam te indriyam ā tasthau amr̥tam divi	Never art thou neglectful: thou guardest both races with thy care. The call on Indra, fourth Âditya! is thine own. Amrit is stablished in the heavens.
yasmai tvam magha van indra girvaṇaḥ śikṣo iti śikṣasi dāśuṣe asmākam giraḥ uta sustutim vaso iti kaṇva vat śr̥ṇudhi havam	The offerer whom thou, Indra, Lover of the Song, liberal Maghavan, favourest,– As at the call of Kaṇva so, O gracious Lord, hear, thou our songs and eulogy.
astāvi manma pūrvyam brahma indrāya vocata pūrvīḥ r̥tasya br̥hatīḥ anūṣata stotuḥ medhāḥ asr̥kṣata	Sung is the song of ancient time: to Indra have ye said the prayer. They have sung many a Br̥ihatî of sacrifice, poured forth the worshipper's many thoughts.
sam indraḥ rāyaḥ br̥hatīḥ adhūnuta sam kṣoṇī iti sam oṁ iti sūryam sam śukrāsaḥ śucayaḥ sam go āśiraḥ somāḥ indram amandiṣuḥ	Indra hath tossed together mighty stores of wealth, and both the worlds, yea, and the Sun. Pure, brightly-shining, mingled with the milk, the draughts of Soma have made Indra glad.
upa mam tvā maghonām jyeṣṭham ca vr̥ṣabhāṇām purbhit tamam magha van indra go vidam īśānam rāyaḥ īmahe	As highest of the Maghavans, preeminent among the Bulls, Best breaker-down of forts, kine-winner, Lord of wealth, we seek thee, Indra Maghavan.
yaḥ āyum kutsam atithi gvam ardayaḥ vavr̥dhānaḥ dive dive tam tvā vayam hari aśvam śata kratum vāja yantaḥ havāmahe	Thou who subduedst Âyu, Kutsa, Âtithigva, waxing daily in thy might, As such, rousing thy power, we invocate thee now, thee Ṣatakratu, Lord of Bays.
ā naḥ viśveṣām rasam madhvaḥ siñcantu adrayaḥ ye parāvati sunv ire janeṣu ā ye arvāvati indavaḥ	The pressing-stones shall pour for us the essence of the meath of all, Drops that have been pressed out afar among the folk, and those that have been pressed near us.
viśvā dveṣāṁsi jahi ca avaca ā kr̥dhi viśve sanvantu ā vasu śīṣṭeṣu cit te madirāsaḥ aṁśavaḥ yatra somasya tr̥mpasi	Repel all enmities and keep them far away: let all win treasure for their own. Even among Ṣishṭas are the stalks that make thee glad, where thou with Soma satest thee.
indra nedīyaḥ ā it ihi mita medhābhiḥ ūti bhiḥ ā śam tama śam tamābhiḥ abhiṣṭi bhiḥ ā su āpe svāpi bhiḥ	Come, Indra, very near to us with aids of firmly-based resolve; Come, most auspicious, with thy most auspicious help, good Kinsman, with good kinsmen, come!
āji turam sat patim viśva carṣaṇim kr̥dhi pra jāsu ābhagam pra su tira śacībhiḥ ye te ukthinaḥ kratum punate ānuṣak	Bless thou with progeny the chief of men, the lord of heroes, victor in the fray. Aid with thy powers the men who sing thee lauds and keep their spirits ever pure and bright.
yaḥ te sādhiṣṭhaḥ avase te syāma bhareṣu te vayam hotrābhiḥ uta devahūti bhiḥ sasa vāṁsaḥ manāmahe	May we be such in battle as are surest to obtain thy grace: With holy offerings and invocations of the Gods, we mean, that we may win the spoil.
aham hi te hari vaḥ brahma vāja yuḥ ājim yāmi sadā ūti bhiḥ tvām it eva tam ame sam aśva yuḥ gavyuḥ agre mathīnām	Thine, Lord of Bays, am I. Prayer longeth for the spoil. Still with thy help I seek the fight. So, at the raiders' head, I, craving steeds and kine, unite myself with thee alone.
etat te indra vīryam gīḥ bhiḥ gr̥ṇanti kāravaḥ te stobhantaḥ ūrjam āvan ghr̥ta ścutam paurāsaḥ nakṣan dhīti bhiḥ	INDRA, the poets with their hymns extol this hero might of thine: They strengthened, loud in song, thy power that droppeth oil. With hymns the Pauras came to thee.
nakṣante indram avase su kr̥tyayā yeṣām suteṣu mandase yathā sam varte amadaḥ yathā kr̥śe eva asme iti indra matsva	Through piety they came to Indra for his aid, they whose libations give theejoy. As thou with, Kr̥iṣa and Samvarta hast rejoiced, so, Indra, be thou glad with us.
ā naḥ viśve sa joṣasaḥ devāsaḥ gantana upa naḥ vasavaḥ rudrāḥ avase naḥ ā gaman śr̥ṇvantu marutaḥ havam	Agreeing in your spirit, all ye Deities, come nigh to us. Vasus and Rudras shall come near to give us aid, and Maruts listen to our call.
pūṣā viṣṇuḥ havanam me sarasvatī avantu sapta sindhavaḥ āpaḥ vātaḥ parvatāsaḥ vanaspatiḥ śr̥ṇotu pr̥thivī havam	May Pûshan, Vishṇu, and Sarasvatî befriend, and the Seven Streams, this call of mine: May Waters, Wind, the Mountains, and the Forest-Lord, and Earth give ear unto my cry.
yat indra rādhaḥ asti te māghonam maghavat tama tena naḥ bodhi sadha mādyaḥ vr̥dhe bhagaḥ dānāya vr̥tra han	Indra, with thine own bounteous gift, most liberal of the Mighty Ones, Be our boon benefactor, Vr̥itra-slayer, be our feast-companion for our weal.
āji pate nr̥ pate tvam it hi naḥ vāje ā vakṣi sukrato itisu krato vītī hotrābhiḥ uta devavīti bhiḥ sasa vāṁsaḥ vi śr̥ṇvire	Leader of heroes, Lord of battle, lead thou us to combat, thou Most Sapient One. High fame is theirs who win by invocations, feasts and entertainment of the Gods.
santi hi arye āśiṣaḥ indre āyuḥ janānām asmān nakṣasva magha van upa avase dhukṣasva pipyuṣīm iṣam	Our hopes rest on the Faithful One: in Indra is the people's life. O Maghavan, come nigh that thou mayst give us aid: make plenteous food stream forth for us.
vayam te indra stomebhiḥ vidhema tvam asmākam śatakrato itiśata krato mahi sthūram śaśayam rādhaḥ ahrayam praskaṇvāya ni tośaya	Thee would we worship, Indra, with our songs of praise: O Ṣatakratu, be thou ours. Pour down upon Praskaṇva bounty vast and firm, exuberant, that shall never fail.
bhūri it indrasya vīryam vi akhyam abhi ā ayati rādhaḥ te dasyave vr̥ka	GREAT, verily, is Indra's might. I have beheld, and hither comes Thy bounty, Dasyave-vr̥ika!
śatam śvetāsaḥ ukṣaṇaḥ divi tāraḥ na rocante mahnā divam na tastabhuḥ	A hundred oxen white of hue are shining like the stars in heaven, So tall, they seem to prop the sky.
śatam veṇūm śatam śunaḥ śatam carmāṇi mlātāni śatam me balbaja stukāḥ aruṣīṇām catuḥ śatam	Bamboos a hundred, a hundred dogs, a hundred skins of beasts well-tanned, A hundred tufts of Balbaja, four hundred red-hued mares are mine.
su devāḥ stha kāṇvāyanāḥ vayaḥ vayaḥ vi carantaḥ aśvāsaḥ na caṅkramata	Blest by the Gods, Kinvayanas! be ye who spread through life on life: Like horses have ye stridden forth.
āt it sāptasya carkiran na anūnasya mahi śravaḥ śyāvīḥ ati dhvasan pathaḥ cakṣuṣā cana sam naśe	Then men extolled the team of seven not yet full-grown, its fame is great. The dark mares rushed along the paths, so that no eye could follow them.
prati te dasyave vr̥ka rādhaḥ adarśi ahrayam dyauḥ na prathinā śavaḥ	THY bounty, Dasyave-vr̥ika, exhaustless hath displayed itself: Its fulness is as broad as heaven.
daśa mahyam pauta krataḥ sahasrā dasyave vr̥kaḥ nityāt rāyaḥ amaṁhata	Ten thousand Dasyave-vr̥ika, the son of Pûtakratu, hath From his own wealth bestowed on me.
śatam me gardabhānām śatam ūrṇāvatīnām śatam dāsān ati srajaḥ	A hundred asses hath he given, a hundred head of fleecy sheep, A hundred slaves, and wreaths besides.
tatro iti api pra aṇīyata pūta kratāyai vi aktā aśvānām it na yūthyām	There also was a mare led forth, picked out for Putakrata's sake, Not of the horses of the herd.
aceti agniḥ cikituḥ havya vāṭ saḥ sumat rathaḥ agniḥ śukreṇa śociṣā br̥hat sūraḥ arocata divi sūryaḥ arocata	Observant Agni hath appeared, oblation-bearer with his car. Agni with his resplendent flame hath shone on high as shines the Sun, hath shone like Sûrya in the heavens.
yuvam devā kratunā pūrvyeṇa yuktāḥ rathena taviṣam yajatrā ā agacchatam nāsatyā śacībhiḥ idam tr̥tīyam savanam pibāthaḥ	ENDOWED, O Gods, with your primeval wisdom, come quickly with your chariot, O ye Holy. Come with your mighty powers, O ye Nâsatyas; come hither, drink ye this the third libation.
yuvām devāḥ trayaḥ ekādaśāsaḥ satyāḥ satyasya dadr̥śe purastāt asmākam yajñam savanam juṣāṇā pātam somam aśvinā dīdyagnī itidīdi agnī	The truthful Deities, the Three-and-Thirty, saw you approach before the Ever-Truthful. Accepting this our worship and libation, O Aṣvins bright with fire, drink ye the Soma.
panāyyam tat aśvinā kr̥tam vām vr̥ṣabhaḥ divaḥ rajasaḥ pr̥thivyāḥ sahasram śaṁsāḥ uta ye gaviṣṭau sarvān it tān upa yāta pibadhyai	Aṣvins, that work of yours deserves our wonder,– the Bull of heaven and earth and air's mid region; Yea, and your thousand promises in battle, -to all of these come near and drink beside us.
ayam vām bhāgaḥ ni hitaḥ yajatrā imāḥ giraḥ nāsatyā upa yātam pi batam somam madhu mantam asme iti pra dāśvāṁsam avatam śacībhiḥ	Here is your portion laid for you, ye Holy: come to these songs of ours, O ye Nâsatyas. Drink among us the Soma full of sweetness, and with your powers assist the man who worships.
yam r̥tvijaḥ bahudhā kalpayantaḥ sa cetasaḥ yajñam imam vahanti yaḥ anūcānaḥ brāhmaṇaḥ yuktaḥ āsīt kā svit tatra yajamānasya sam vit	HE whom the priests in sundry ways arranging the sacrifice, of one accord, bring hither, Who was appointed as a learned Brahman, -what is the sacrificer's knowledge of him?
ekaḥ eva agniḥ bahudhā sam iddhaḥ ekaḥ sūryaḥ viśvam anu pra bhūtaḥ ekā eva uṣāḥ sarvam idam vi bhāti ekam vai idam vi babhūva sarvam	Kindled in many a spot, still One is Agni; Sûrya is One though high o'er all he shineth. Illumining this All, still One is Ushas. That which is One hath into All developed.
jyotiṣmantam ketu mantam tri cakram su kham ratham su sadam bhūri vāram citra maghā yasya yoge adhi jajñe tam vām huve ati riktam pibadhyai	The chariot bright and radiant, treasure-laden, three-wheeled, with easy seat, and lightly rolling, Which She of Wondrous Wealth was born to harness,– this car of yours I call. Drink what remaineth.
imāni vām bhāga dheyāni sisrate indrāvaruṇā pra mahe suteṣu vām yajñe yajñe ha savanā bhuraṇyathaḥ yat sunvate yajamānāya śikṣathaḥ	IN offerings poured to you, O Indra-Varuṇa, these shares of yours stream forth to glorify your state. Ye haste to the libations at each sacrifice when ye assist the worshipper who sheds the juice.
niḥ sidhvarīḥ oṣadhīḥ āpaḥ āstām indrāvaruṇā mahimānam āśata yā sisratuḥ rajasaḥ pāre adhvanaḥ yayoḥ śatruḥ nakiḥ adevaḥ ohate	The waters and the plants, O Indra-Varuṇa, had efficacious vigour, and attained to might: Ye who have gone beyond the path of middle air,– no godless man is worthy to be called your foe.
satyam tat indrāvaruṇā kr̥śasya vām madhvaḥ ūrmim duhate sapta vāṇīḥ tābhiḥ dāśvāṁsam avatam śubhaḥ patī iti yaḥ vām adabdhaḥ abhi pāti citti bhiḥ	True is your Kr̥iṣa's word, Indra and Varuṇa: The seven holy voices pour a wave of meath. For their sake, Lords of splendour! aid the pious man who, unbewildered, keeps you ever in his thoughts.
ghr̥ta pruṣaḥ saumyāḥ jīra dānavaḥ sapta svasāraḥ sadane r̥tasya yāḥ ha vām indrāvaruṇā ghr̥ta ścutaḥ tābhiḥ dhattam yajamānāya śikṣatam	Dropping oil, sweet with Soma, pouring forth their stream, are the Seven Sisters in the seat of sacrifice. These, dropping oil, are yours, O Indra-Varuṇa: with these enrich with gifts and help the worshipper.
avocāma mahate saubhagāya satyam tveṣābhyām mahimānam indriyam asmān su indrāvaruṇā ghr̥ta ścutaḥ tri bhiḥ sāptebhiḥ avatam śubhaḥ patī iti	To our great happiness have we ascribed to these Two Bright Ones truthfulness, great strength, and majesty. O Lords of splendour, aid us through the Three-times-Seven, as we pour holy oil, O Indra-Varuṇa.
indrāvaruṇā yat r̥ṣi bhyaḥ manīṣām vācaḥ matim śrutam adattam agre yāni sthānāni asr̥janta dhīrāḥ yajñam tanvānāḥ tapasā abhi apaśyam	What ye in time of old Indra and Varuṇa, gave R̥ishis revelation, thought, and power of song, And places which the wise made, weaving sacrifice,– these through my spirit's fervid glow have I beheld.,
indrāvaruṇā saumanasam adr̥ptam rāyaḥ poṣam yajamāneṣu dhattam pra jām puṣṭim bhūtim asmāsu dhattam dīrghāyu tvāya pra tiratam naḥ āyuḥ	O Indra-Varuṇa, grant to the worshippers cheerfulness void of pride, and wealth to nourish them. Vouchsafe us food, prosperity, and progeny, and lengthen out our days that we may see long life.
agne ā yāhi agni bhiḥ hotāram tvā vr̥ṇīmahe ā tvām anaktu pra yatā haviṣmatī yajiṣṭham barhiḥ āsade	AGNI, come hither with thy fires; we choose thee as Invoking Priest. Let the extended ladle full of oil balm thee, best Priest, to sit on sacred grass.
accha hi tvā sahasaḥ sūno iti aṅgiraḥ srucaḥ caranti adhvare ūrjaḥ napātam ghr̥ta keśam īmahe agnim yajñeṣu pūrvyam	-For unto thee, O Angiras, O Son of Strength, move ladles in the sacrifice. To Agni, Child of Force, whose locks drop oil, we seek foremost in sacrificial rites.
agne kaviḥ vedhāḥ asi hotā pāvaka yakṣyaḥ mandraḥ yajiṣṭhaḥ adhvareṣu īḍyaḥ viprebhiḥ śukra manma bhiḥ	Agni, thou art Disposer, Sage, Herald, bright God! and worshipful, Best offerer, cheerful, to be praised in holy rites, pure Lord! by singers with their hymns.
adrogham ā vaha uśataḥ yaviṣṭhya devān ajasra vītaye abhi prayāṁsi su dhitā ā vaso iti gahi mandasva dhīti bhiḥ hitaḥ	Most Youthful and Eternal, bring the longing Gods to me, the guileless, for the feast. Come, Vasu, to the banquet that is well-prepared: rejoice thee, gracious, with our songs.
tvam it sa prathāḥ asi agne trātaḥ r̥taḥ kaviḥ tvām viprāsaḥ sam idhāna dīdi vaḥ ā vivāsanti vedhasaḥ	Famed art thou, Agni, far and wide, Preserver, righteous, and a Sage. The holy singers, O refulgent kindled God! arrangers, call on thee to come.
śoca śociṣṭha dīdihi viśe mayaḥ rāsva stotre mahān asi devānām śarman mama santu sūrayaḥ śatru sahaḥ su agnayaḥ	Shine, Most Resplendent! blaze, send bliss unto the folk, and to thy worshipper: Great art thou. So may my princes, with good fires, subduing foes, rest in the keeping of the Gods.
yathā cit r̥ddham atasam agne sam jūrvasi kṣami eva daha mitra mahaḥ yaḥ asma dhruk duḥ manmā kaḥ ca venati	Agni, as thou burnest down to earth even high-grown underwood, So, bright as Mitra is, burn him who injures us, him who plots ill against thy friend.
mā naḥ martāya ripave rakṣasvine mā agha śaṁsāya rīradhaḥ asredhat bhiḥ taraṇi bhiḥ yaviṣṭhya śivebhiḥ pāhi pāyu bhiḥ	Give us not as a prey to mortal enemy, nor to the wicked friend of fiends. With conquering guards, auspicious, unassailable, protect us, O Most Youthful God.
pāhi naḥ agne ekayā pāhi uta dvitīyayā pāhi gīḥ bhiḥ tisr̥ bhiḥ ūrjām pate pāhi catasr̥ bhiḥ vaso iti	Protect us, Agni, through the first, protect us through the second hymn, Protect us through three hymns, O Lord of Power and Might, through four hymns, Vasu, guard thou us.
pāhi viśvasmāt rakṣasaḥ arāvṇaḥ pra sma vājeṣu naḥ ava tvām it hi nediṣṭham deva tātaye āpim nakṣāmahe vr̥dhe	Preserve us from each fiend who brings the Gods no gift, preserve thou us in deeds of strength: For we possess in thee the nearest Friend of all, for service of the Gods and weal.
ā naḥ agne vayaḥ vr̥dham rayim pāvaka śaṁsyam rāsva ca naḥ upa māte puru spr̥ham su nītī svayaśaḥ taram	O Holy Agni, give us wealth renowned with men and strengthening life. Bestow on us, O Helper, that which many crave, more glorious still by righteousness;
yena vaṁsāma pr̥tanāsu śardhataḥ tarantaḥ aryaḥ ādiśaḥ saḥ tvam naḥ vardha pra yasā śacīvaso itiśacī vaso jinva dhiyaḥ vasu vidaḥ	Wherewith we may o’ercome our rivals in the war, o’erpowering the foe’s designs. So wax thou by our food, O Excellent in strength. Quicken our thoughts that find out wealth.
śiśānaḥ vr̥ṣabhaḥ yathā agniḥ śr̥ṅge davidhvat tigmāḥ asya hanavaḥ na prati dhr̥ṣe su jambhaḥ sahasaḥ yahuḥ	Agni is even as a bull who whets and brandishes his horns. Well-sharpened are his jaws which may not be withstood: the Child of Strength hath powerful teeth.
