.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
mālāḥ srajaścandanamaṃśukāni bibhradvibhūṣāśca sutābhimṛṣṭāḥ /	They are very old, and not wholly free from corruptions and misunderstandings.
kāmeṣu tīvrāṃ sa karotvapekṣāṃ bisānyahārṣīddvijamukhya yaste // apara uvāca- kṛṣyāśrayāvāptadhanaḥ kuṭumbī praodamānastanayapralāpaiḥ / vayo 'pyapaśyan ramatāṃ sa gehe bisāni yaste sakṛdapyahārṣīt //	The Pāli redaction adds, that the audience on hearing this protestation shut their ears, saying: Do not speak in this manner, friend! thy curse is too tremendous.. May he who took thy lotus-stalks even once, be a husbandman who, having obtained wealth in consequence of his husbandry and delighting in the prattle of his children, enjoys the home-life without thinking of the time when he must retire from the world! The fourth brother spoke:.
narādhipairbhṛtyavinītaceṣṭairabhyarcyamāno natalolacuḍaiḥ / kṛtsnaṃ mahīṃ pātu sa rājavṛttyā lobhādahārṣīttava yo bisāni //	May he who prompted by cupidity took thy lotus-stalks, rule the whole earth as a monarch, and be worshipped by kings attending on him in the humble attitude of slaves, lowering their trembling heads! The fifth brother spoke:.
purohitaḥ so 'stu narādhipasya mantrādinā svastyayanena yuktaḥ / satkāramāpnotu tathā ca rājñastavāpi yo nāma bisānyahārṣīt // apara uvāca-	May he be a king's family-priest in the possession of evil charming mantras and the like, may he also be treated with distinction by his king, whosoever he be who took thy lotus stalks! The sixth brother said:.
adhyāpakaṃ samyagadhītavedaṃ tapasvisaṃbhāvanayā mahatyā / arcantu tam jānapadāḥ sametya biseṣu lubdho na guṇeṣu yaste //	May he who has been eager to possess thy lotus-stalks rather than thy virtues, be a famous teacher well-versed in the Veda The Sanskrit text has vayo py apaśyan = Pāli vayaṁ appassaṁ.
sahāya uvāca-	follow the explication of the Pāli commentary..
catuḥśataṃ grāmavaraṃ samṛddhaṃ labdhvā narendrādupayātu bhoktum / avītarāgo maraṇaṃ sa caitu lobhaṃ biṣeṣvapyajayanna yaste // dāsa uvāca-	May that person who ventured to take the lotus-stalks of such a being as you, be a woman of resplendent beauty and The said four plenties are thus explained in the commentary on the Pāli Jātaka, which proves here of essential help, since catuḥśatam of the Sanskrit text is a wrong Sanskritisation of Pāli catussadaṁ, and does not suit the context.
sa grāmaṇīrastu sahāyamadhye strīnṛttagītairupalāpyamānaḥ /	Both the Sanskrit and the Pāli redaction have here the masculine pronoun demonstrative.
bhaginyuvāca-	The fault, must be a very ancient one.
yoṣitsahasrāgrasarīṃ karotu yastvadvidhasyāpi bisānyahārṣīt //	In the imprecation of the female servant the grammatical gender is respected by Śūra, not so in the Jātaka..
dāsyuvāca- ekākinī sā samatītya sādhūn svādūpabhoge praṇayaṃ karotu / satkāralabdhāṃ mudamudvahantī bisānyapaśyattava yā na dharmam // atha tatra dharmaśravaṇārthaṃ samāgatāstadvanādhyuṣitā yakṣadviradavānarāstāṃ kathāmupaśrutya pasrāṃ vrīḍāṃ saṃvegaṃ copajagmuḥ /	May she much delight in eating sweetmeats alone stealthily, disregarding the pious, and be greatly rejoiced when she gets a dainty dish, she who set her heart on thy lotus-stalks, not on thy righteousness! Now three inhabitants of the forest had also come to that place to hear the preaching of the Law, namely a Yakṣa, an elephant, and a monkey. They had heard the conversation and were overcome with the utmost shame and confusion.
atha yakṣa ātmaviśuddhipradarśanārthamiti śapathameṣāṃ purataścakāra-	Among them, the Yakṣa attested his innocence, uttering in their presence this solemn protestation:.
āvāsikaḥ so 'stu mahāvihāre kacaṅgalāyāṃ navakarmikaśca /	May he who failed against thee for the sake of the lotus stalks, have his residence in the Great Monastery, entrusted with the charge of the reparations in (the town of) Kacangalā, and make one window every day! The elephant spoke: This imprecation alludes to the story of a certain devaputra, who in the time of the Buddha Kāśyapa dwelt in the said monastery and was obliged to do the labour imposed on him, whereby he suffered much.
ālokasaṃdhiṃ divasaiḥ karotu yastvayyapi praskhalito visārtham //	brief account of that tale is given in the commentary on the Pāli Jātaka, where the speaker of this stanza is called a Devatā, not a Yakṣa..
hastyuvāca- ṣaḍbhirdṛḍhaiḥ pāśaśataiḥ sa bandhaṃ prāpnotu ramyācca vanājjanāntam / tīkṣṇāṅkuśākarṣaṇajā rujaśca yaste muniśreṣṭha bisānyahārṣīt //	May he come into captivity from the lovely forest into the company of men, fettered with six hundred solid chains, and suffer pain from the sharp goads of his driver, he who took thy lotus-stalks, most excellent of Munis! The monkey said:.
sa puṣpamālī trapughṛṣṭakaṇṭho yaṣṭyā hataḥ sarpamukhaṃ paraitu / vaikakṣyabaddhaśca vasedgṛheṣu laulyādahārṣīttava yo bisāni // atha bodhisattvastān sarvānevāsnunayavinītākṣaraṃ śāntigāmbhīryasūcakamityuvāca-	May he who moved by greediness took thy lotus-stalks wear a flower-garland and a tin collar rubbing his neck, and beaten with a stick pass before the face of a serpent, and with a long wreath hanging from his shoulder, live in the houses (of men)! In reply, the Bodhisattva addressed all of them with words both persuasive and kind, indicating how deep-rooted was his dispassionateness.
upaitu gehāśrita eva mṛtyuṃ bhavatsu yaḥ śaṅkata īdṛśaṃ vā //	May he who falsely said they have disappeared, though he had them, obtain to his heart's desire worldly pleasures and die a householder.
atha śakro devendrastena teṣāṃ kāmopabhogaprātikūlyasūcakena śapathātiśayena samutpāditavismayabahumānaḥ svenaiva vapuṣābhijvalatā tānṛṣīnabhigamya sāmarṣavaduvāca-mā tāvadbhoḥ /	May the same be the fate of him who suspects you of a similar action! Those extraordinary protestations of them, indicative of their abhorrence of the enjoyment of worldly pleasures, roused the astonishment and respect of Sakra, the Lord of the Devas. He made suppose the author of the Sanskrit original did not understand the meaning of the text he Sanskritised.
yatprāptiparyutsukamānasānāṃ sukhārthināṃ naiti manāṃsi nidrā / yatprāptumicchanti tapaḥśramaiśca tān kena kāmāniti kutsayadhve // bodhisattva uvāca-anantādīnavā mārṣa kāmāḥ /	Those enjoyments to obtain which everybody who longs for happiness strives after to such a degree as to banish sleep from his eyes and to undertake any form of penance and toil you censure, calling them worldly pleasures! Why do you judge so? The Bodhisattva spoke: Sensual enjoyments are accompanied by endless sins, sir.
saṃkṣepatastu śrūyatāṃ yadabhisamīkṣya kāmānna praśaṃsanti munayaḥ /	Why, hear then, will tell thee concisely, what the Munis have in view that makes them blame sensual enjoyments.
kāmeṣu bandhamupayāti vadhaṃ ca lokaḥ śokaṃ klamaṃ bhayamanekavidhaṃ ca duḥkham /	On account of them, men incur captivity and death, grief, fatigue, danger, in short manifold sufferings.
kāmārthameva ca mahīpatayaḥ patanti dharmopamardarabhasā narakaṃ paratra //	For the sake of them, kings are eager to oppress righteousness, and consequently fall into hell after death.
yatsauhṛdāni sahasā virasībhavanti yannītiśāṭhyamalinena pathā prayānti / kīrtya viyogamasukhaiḥ parataśca yogaṃ yatprāpnuvanti nanu kāraṇamatra kāmāḥ //	When the ties of friendship are suddenly loosened, when men enter the road of political wisdom, that unclean path of falseness, when they lose their good reputation and hereafter come to meet with sufferings is it not sensual enjoyments that are the cause thereof?.
iti hīnavimadhyamottamānāmiha cāmutra ca yadvadhāya kāmāḥ / kupitān bhujagānivātmakāmā munayastāniti śakra nāśrayante //	Now, since worldly pleasures in this manner tend to the destruction of all conditions of men, the highest, the middle and the lowest, both in this world and in the next, the Munis, Śakra, who long only for the Self, keep aloof from them, as they would from angry serpents..
guṇasaṃbhāvanāvyaktiryatparīkṣyopalabhyate /	high opinion of virtue may be tested by trial.
mayā vinihitānyasmātparīkṣārthaṃ bisāni vaḥ //	Thus considering, hid the lotus-stalks in order to try you.
tatsanāthaṃ jagaddiṣṭyā munibhistathyakīrtibhiḥ /	And now, how fortunate is the world in that it possesses such Munis as you, whose glory is tested by fact.
viśuddhiḥ sthiracāritre tadetāni bisāni te // ityuktvā tāni bisāni bodhisattvasya samupajahāra / atha bodhisattvastadasyāsamudācāradhārṣṭyaṃ tejasvinibhṛtena vacasā pratyādideśa-	And thou, here, take these lotus stalks, as a proof of a constant holy behaviour. With these words he handed the stalks over to the Bodhisattva. But the Bodhisattva reproved his unbecoming and audacious way of proceeding in terms though modest, yet expressive of noble self-esteem.
na bāndhavā naiva vayaṃ sahāyā na te naṭā nāpi viḍambakāḥ smaḥ /	We are no kinsfolk of thine, nor thy comrades, nor are we thy actors or buffoons.
kasminnavaṣṭabhya nu devarāja krīḍāpathenaivamṛṣīnupaiṣi // ityukte śakro devendraḥ sasaṃbhramāpāstakuṇḍalakirīṭavidyudbhāsuravadanaḥ sabahumānamabhipraṇamyainaṃ kṣamayāmāsa-	What, then, is the reason for thy coming here, Lord of the Devas, to play with Ṛṣis in this manner? At these words Śakra, the Lord of the Devas, hastily divested himself of his divine appearance, brilliant with his ear-rings, his head ornament, and his lightning, and respectfully bowing to the Bodhi sattva, spoke thus in order to appease him:.
uktaprayojanamidaṃ cāpalaṃ mama nirmama / pitevācārya iva ca kṣantumarhati tadbhavān //	thou who art free from all selfishness, deign to forgive me the thoughtless deed did with the aforesaid purpose; pardon it like a father, like a teacher!.
nimīlitajñānavilocanānāṃ svabhāva eṣa skhalituṃ same 'pi /	It is proper, indeed, to those whose eyes are not yet opened to wisdom, to offend against others, be they even their equals.
kṣamāṃ ca tatrātmavatāṃ prapattumato 'pyadaścetasi mā sma kārṣīḥ //	Likewise it is proper to (the wise) who know the Self, to pardon such offences. Also for this reason, pray do not feel anger in thy heart concerning that deed!.
iti kṣamayitvā śakrastatraivāntardadhe // tadevaṃ pravivekasukharasajñānāṃ viḍambaneva vihiṃseva ca kāmāḥ pratikūlā bhavanti //	In this manner, then, those who have learnt to appreciate the happiness of detachment are hostile to worldly pleasures; they will oppose them like one opposes a deception, an injury. In the original some lines follow here, bracketed by the editor.
[taccedaṃ jātakaṃ bhagavān vyākārṣīt-	This is its translation ‘And this jātaka has thus been explained by the Lord: -.
ahaṃ śāradvatīputro maudgalyāyanakāśyapau / pūrṇāniruddhāvānanda ityāsurbhrātarastadā //	, the son of Saradvatī [viz. Śäriputra], Maudgalyāyana, Kāśyapa, Pūrṇa, Aniruddha, and Ānanda, we were the brothers of that time.
bhaginyutpalavarṇāsīddāsī kubjottarābhavat /	Utpalāvarṇā was the sister and Kubjottarā was the maidservant.
citro gṛhapatirdāso yakṣaḥ sātāgiristadā // pārileyo 'bhavannāgo madhudātaiva vānaraḥ / kālodāyī ca śakro 'bhūddhāryatāmiti jātakam //] iti bisajātakamekonaviṃśatitamam //	Citra the householder was then the male slave, Sātāgirī the Yakṣa, Pārileya the elephant, Madhudātar the monkey, Kālodāyin the Sakra of that time. Retain well this jātaka thus explained. Almost the same verses and names are found in the conclusion of this story in the Pāli Jātaka..
20 śreṣṭhijātakam / abhūtaguṇasaṃbhāvanā pratodasaṃcodaneva bhavati sādhūnāmiti guṇasaṃpādane prayatitavyam / tadyathānuśrūyate-	, Fausböll,, ) An unfounded opinion of their possession of some virtue acts upon the virtuous like a stirring spur. Considering thus, one ought to strive after the realisation of virtues; as will be taught in the following.
bodhisattvaḥ kila śrutakulavinayamahānakṣudranipuṇamatiraviṣamavyavahāraratiranekaśāstrābhyāsādālakṣitavacanasauṣṭhavaḥ karuṇānuvṛttyā samantato visyandamānadhanasamṛddhirmahāpradānairmahādhanatvādgṛhapatiratnasaṃmato 'nyatamasya rājñaḥ śreṣṭhī babhūva /	One time the Bodhisattva is said to have been a king's treasurer, illustrious for his learning, his noble family and his modest behaviour. He had lofty aspirations and a clever intellect, loved honest practices in business, and owing to his thorough study of many branches of science, attracted notice by his elegance of speech. Compassionate as he was and in the possession of a large estate, he made the bliss of his wealth flow in all directions by his great gifts of charity.
sa prakṛtyaiva dharmātmā śrutādiguṇabhūṣaṇaḥ / abhūtprāyeṇa lokasya bahumānaikabhājanam //	As he was by his nature fond of righteousness, and was adorned by (acquired) qualities, sacred learning and the like, people were wont to look upon him as worthy of veneration.
atha kadācittasmin mahāsattve rājakulamabhigate kenacideva karaṇīyena tasya śvaśrūrduhitaramavalokayituṃ tadgṛhamabhijagāma /	above all others. One day, when that Great Being had gone out for some business to the king's palace, his mother-in-law came to his house to see her daughter.
kṛtābhyāgamanasatkārā ca saṃkathāprastāvagataṃ svāṃ duhitaraṃ bodhisattvabhāryāṃ rahasi kuśalaparipraśnapūrvakaṃ paryapṛcchat-kaccittvāṃ tāta bhartā nāvamanyate, kaccidvā vetti paricaryāsguṇam, na vā duḥkhaśīlatayā prabādhata iti /	After the usual welcome and inquiries as to health, there ensued a conversation, in the course of which, being alone with her daughter, the wife of the Bodhisattva, she turned to put questions to her such as these: Your husband does not disregard you, my dear, hope? And does he know how to show you attention? He does not grieve you by misconduct, hope? And she answered with downcast looks bashfully.
sā sasvaramabhiruditā svāṃ duhitaramanuśocantī duḥkhāvegavaśātparidevanaparābabhūva /	She burst into tears, and overpowered by the violence of her grief, indulged in lamenting and bewailing her daughter.
kīdṛśastasya śīlaguṇasamudācāro ya evamanuraktaṃ svaṃ janamapahāya pravrajitaḥ? kiṃ vā tasya pravrajyayā?	What virtuous behaviour and conduct is shown by him who leaves the world in this manner, abandoning his affectionate family? And what has he to do with world-renunciation, after all?.
taruṇasya vapuṣmataḥ sataḥ sukumārasya sukhocitātmanaḥ / kṣitipābhimatasya tasya vai vanavāse praṇatā matiḥ katham //	What is the reason that such a person as he is, young, handsome, delicate, accustomed to a life of comfort, a favourite with the king, should feel a vocation for the forest-life?.
svajanādanavāpya vipriyaṃ jarayā vopahṛtāṃ virūpatām / kathamekapade rujaṃ vinā vibhavodgāri gṛhaṃ sa muktavān //	How did it come to pass that without experiencing any wrong from the side of his family and before the deformity of old age had come, he left suddenly and without pain his home abounding in wealth?.
vinayābharaṇena dhīmatā priyadharmeṇa parānukampinā / kathamabhyupapannamīdṛśaṃ svajane niṣkaruṇatvacāpalam //	He, adorned by a decent behaviour, by wisdom and love of righteousness, he, full of compassion for others how is it that he could come to such a reckless deed without mercy for his own family?.
śramaṇadvijamitrasaṃśritān svajanaṃ dīnajanaṃ ca mānayan /	As he was in the habit of honouring Śramaṇas and Brāhmans, friends and clients, his own family and (that larger family of) the distressed, and as he considered a spotless conduct his.
aparādhavivarjitāṃ tyajannanakūlāṃ sahadharmacāriṇīm / yatidharmaparaḥ sa nekṣate kimimaṃ dharmapathavyatikramam //	Abandoning his chaste and devoted wife, the companion of his religious duties, how is it that he does not perceive that by excessive love of the Law he is here transgressing the path of the Law?.
dhigaho bata daivadurnayadyadi bhaktaṃ janamevamujjhatām na ghṛṇāpathameti mānasaṃ yadi vā dharmalavo 'pi sidhyati // atha sā bodhisattvasya patnī tena mātuḥ karuṇenākṛtakena paridevitena patipravrajyābhisaṃbandhena strīsvabhāvādvyathitahṛdayā sasaṃbhramā viṣādaviklavamukhī śokaduḥkhābhinipātasaṃkṣobhādvismṛtakathāprastāvasaṃbandhā pravrajito me bharteti madvyavasthāpanārthamambā gṛhamidamabhigatā vipriyaśravaṇāditi niścayamupetya saparidevitaṃ sasvaraṃ rudatī mohamupajagāma bālā /	Alas! It is a pity! Fie upon the bad management of Destiny, that men can leave their beloved relations without being withheld by Compassion, or that they can be successful even in the slightest part of the holiness they pursue! When the Bodhisattva's wife heard those piteous and sincere lamentations of her mother on account of her husband having renounced the world, she grew alarmed (being impressionable) after the nature of women. Her disturbed countenance expressed the dejection of her mind shaken by the sudden assault of sorrow and pain. She wholly forgot the subject and the connection of the conversation, and reflected: My husband has forsaken the world, and my mother on hearing the sad news has come here in order to comfort me. Having thus made up her mind, the young, girlish woman began to lament and to weep, and with a loud cry swooned away.
tadupaśrutya gṛhajanaḥ parijanavargaśca śokaduḥkhāvegādākrandanaṃ cakāra /	The other members of the family and the attendants, hearing the matter, became utterly distressed, and burst into lamentations.
tacchrutvā prātiveśyamitrasvajanabandhuvargaḥ saṃśritajano brāhmaṇagṛhapatayaśca tasya gṛhapateranurāgavaśānugāḥ prāyaśaśca paurāstadgṛhamabhijagmuḥ /	On hearing that noise, neighbours, friends, kinsmen, and other relations, clients, chiefs of Brahmanical families, in short, the bulk of the citizens, as they were much attached to the treasurer, gathered round his house..
prāyeṇa lokasya babhūva yasmāttulyakramo 'sau sukhaduḥkhayoge /	As a rule, he had always shared the good and the ill fortune of the people.
ato 'sya loko 'pyanuśikṣayeva tulyakramo 'bhūtsukhaduḥkhayoge //	In consequence thereof the people, as if they had learnt this behaviour from him, showed him the like sympathy in both fortunes.
atha bodhisattvo rājakulātsvabhavanasamīpamupagataḥ sākrandaśabdaṃ svabhavanamavetya mahataśca janakāyasya saṃnipātaṃ svaṃ puruṣamanvādideśa jñāyatāṃ kimetaditi /	Now, when the Bodhisattva on his return from the king's residence approached his dwelling-place, he heard the lamentations resounding from his house, and saw the large multitude there assembled.
sa taṃ vṛttāntamupalabhya samupetyāsmai nivedayāmāsa-	He ordered his attendant to go and learn what was the matter, who having got that information came back and reported it to him.
utsṛjya bhavanaṃ sphītamāryaḥ pravrajitaḥ kila /	It has been rumoured, do not know in what way, that Your Honour has given up his wealthy home to become a mendicant.
iti śrutvā kuto 'pyeṣa snehādevaṃgato janaḥ // atha sa mahāsattvaḥ prakṛtyā śuddhāśayaḥ pratyādiṣṭa iva tena vacasā samupajātavrīḍasaṃvegaścintāmāpede-bhadrā bata mayi janasya saṃbhāvanā /	This news has induced this large body of people to crowd here out of affection. Upon hearing these words, the Great Being felt something like shame. His heart of innate pureness was alarmed by what appeared to him like a reproof. And he entered upon this reflection: Oh! how much am honoured by this opinion of the people!.
ślāghanīyāmavāpyaitāṃ guṇasaṃbhāvanāṃ janāt / gṛhābhimukha eva syāṃ yadi kiṃ mama pauruṣam //	If after obtaining this high opinion of my virtues from the part of the citizens, should cling to the home-life henceforward, should not be a coward?.
syāddoṣabhaktiḥ prathitā mayaivaṃ guṇeṣvavajñāvirasā ca vṛttiḥ / yāyāmataḥ sādhujane laghutvaṃ kiṃ jīvitaṃ syācca tathāvidhasya //	should make myself reputed as one attached to vice, ill behaving and a despiser of virtues; and would consequently lose the esteem now enjoy from the virtuous. So living, life would be insupportable to me.
saṃbhāvanāmasya janasya tasmātkriyāguṇena pratipūjayāmi /	For this reason, in return for the honour conferred upon me by public opinion, will honour them again by realising it,.
mayi sthite bandhusuhṛdviśiṣṭe tvaṃ kena duḥkhena vanaṃ prayāsi / yannāpahartuṃ prabhutā mama syāddhanena nītyā balasaṃpadā vā //	What ails you that, while am living who love you more than your friends and kinsmen, you should want to withdraw to the forest, as if were unable to relieve you from that pain either by my wealth or my policy or my great power?.
māṃ yācamānamiti bandhujanaṃ ca hitvā	Are you in want of money: take it from my side.
kiṃ vā tvamanyadabhivīkṣya vanaṃ prayāsi // iti sa mahātmā sasnehabahumānamabhihito rājñā sānunayamenamuvāca-	Or is it for any other purpose that you desire to withdraw to the forest, leaving your relations and me, who entreat you in this manner? To these affectionate and honorific words of the monarch he answered in a tone of friendly persuasiveness:.
pīḍā kutastvadbhujasaṃśritānāṃ dhanodayavekṣaṇadīnatā vā / ato na duḥkhena vanaṃ prayāmi yamarthamuddiśya tu taṃ nibodha //	From whence can there arise grief to those whom your arm protects, or sadness caused by want of wealth? It is, therefore, not sorrow that induces me to withdraw to the forest, but another reason. Hear what it is..
dīkṣāmupāśrita iti prathito 'smi deva	The report is current, Your Majesty, that have taken the Vows of a religious mendicant.
śokāśrudurdinamukhena mahājanena /	crowd of people mourn for it, and weep for sorrow.
icchāmi tena vijaneṣu vaneṣu vastuṃ śraddheyatāmupagato 'smi guṇābhipattau // rājovāca-nārhati bhavāñjanapravādamātrakeṇāsmān parityaktum /	It is for this reason that want to live in the solitude of the forests, since have been judged a person capable of conceiving this virtuous purpose. The king replied: Your Honour ought not to leave us on account of a mere rumour.
na hi bhavadvidhānāṃ janapravādasaṃpādanābhirādhyā guṇavibhūtistdasaṃpādanavirādhyā vā /	The worth of persons like you does not depend on public opinion, nor do they acquire their illustrious virtues nor lose them. conformably to idle gossip.
svecchāvikalpagrathitāśca tāstā niraṅkuśā lokakathā bhramanti /	Rumour is the result of unrestrained imagination. Once abroad, it runs about free and unchecked.
tsyātsopahāsyaḥ kimuta prapattā // bodhisattva uvāca-mā maivaṃ mahārāja / na hi kalyāṇo janapravādo nānuvidheyaḥ /	Ridiculous is he who in earnest minds such gossip, more ridiculous is he who acts up to it! The Bodhisattva said: No, no, Your Majesty, do not speak so! high opinion of men must be acted up to.
paśyatu devaḥ /	Will Your Majesty deign to consider this.
kalyāṇadharmeti yadā naredra saṃbhāvanāmeti manuṣyadharmā / tasyā na hīyeta naraḥ sadharmā hriyāpi tāvaddhuramudvahettām // saṃbhāvanāyāṃ guṇabhāvanāyāṃ	When a man becomes famous for holiness, Your Majesty, that person ought not to remain behind his reputation, if in fact he is pious, but, to say nothing more, his very shame must induce him to take upon himself the burden of that virtue.
saṃdṛśyamāno hi yathā tathā vā / viśeṣato bhāti yaśaḥ prasiddhyā syāttvanyathā śuṣka ivodapānaḥ //	For, if he is seen in any way acting in accordance with that high opinion of his virtue, the renown of his glory will shine the more, whereas he will be like a dried-up well in the opposite case.
guṇapravādairayathārthavṛddhai- rvimarśapātākulitaiḥ patadbhiḥ /	By a false reputation of virtue, which will spread up to the time when subdued by further knowledge it will disappear, the.
duḥkhena śaknoti punaḥ prasartum //	Once destroyed, it is hardly able to shoot forth anew.
tadvarjanīyān parivarjayantaṃ parigrahān vigrahahetubhūtān / krodhocchiraskāniva kṛṣṇasarpān yukto 'si māṃ deva na saṃniṣeddhum //	Thus considering, am about to abandon my family and property, since those goods are the root of strife and trouble, and worth avoiding like black-hooded snakes with wrath-raised heads. It does not become you, Your Majesty, to oppose my determination.
snehena bhaktijñatayā ca kāmaṃ yukto vidhirbhṛtyajane tavāyam / vittena tu pravrajitasya kiṃ me parigrahakleśaparigraheṇa // ityanunīya sa mahātmā taṃ rājānaṃ kṛtābhyanujñastena tata eva vanāya pratasthe //	(Do not supply me with money.) You are accustomed to show your attachment and gratitude to your loyal servants, as becomes you, know; yet what to a homeless mendicant would be the use of money, which of necessity involves worldly goods and passions? So speaking the Great Being persuaded the king to give him his permission.
athainaṃ suhṛdo jñātayaḥ saṃśritāścābhigamya śokāśrupariplutanayanāḥ pādayoḥ saṃpariṣvajyanivārayitumīṣuḥ /	After which he immediately set out for the forest. But his friends, relations, and clients met him, and shedding tears and embracing his feet, tried to prevent him.
kecidañjalipragrahapuraḥsaraṃ mārgamasyāvṛtya samavātiṣṭhanta /	Some obstructed his way, placing themselves before him with respectfully folded hands.
sapariṣvaṅgasaṃgatānunayamapare gṛhābhimukhamenaṃ netumīṣuḥ / yatkiṃcanakāritākṣepakarkaśākṣaramanye praṇayādenamūcuḥ / mitrasvajanāpekṣākāruṇyapradarśanamapare 'sya pracakruḥ /	Some again endeavoured to lead him in the direction of his house (with soft violence), by embraces and similar persuasive practices. Others again were prompted by their affection to address him in somewhat harsh terms, expressing their blame in some way or other. Some also tried to persuade him that he ought to have regard to his friends and family, for whom he should feel compassion.
gṛhāśrama eva puṇyatama ityevamanye śrutiyuktisaṃgrathitaṃ grāhayitumīhāṃ cakrire /	Others, too, directed their efforts to convince him by argument, combining sacred texts with deductions of reasoning, to the effect that the state of a householder must be the holiest one..
tasya tān pravrajyāśrayavimukhān vanagamananivāraṇadhīramukhān nayanajalārdramukhān suhṛdo 'bhivīkṣya vyaktamiti cintā babhūva-	Now when he looked on his friends thus opposing his world-renunciation and earnestly endeavouring to hinder his departure for the forest with faces wet with tears, surely, this thought arose in his mind:.
suhṛtpratijñaiḥ suhṛdi pramatte nyāyyaṃ hitaṃ rūkṣamapi prayoktum / rūḍhaḥ satāmeṣa hi dharmamārgaḥ prāgeva rucyaṃ ca hitaṃ ca yatsyāt //	If a person acts inconsiderately, it is the duty of those who claim to be his friends to care for the good of their friend, be it even in a rough manner. Such, indeed, is acknowledged to be the righteous way of proceeding among the pious.
vanādgṛhaṃ śreya idaṃ tvamīṣāṃ svastheṣu citteṣu kathaṃ nu rūḍham / yannirviśaṅkā vanasaṃśrayānmāṃ pāpaprasaṅgādiva vārayanti //	But as to them, how is it possible that preferring the home life and boldly deterring me from the forest-life as from the contact of some evil, they should express the judgment of a sound mind?.
mṛto mariṣyannapi vā manuṣyaścyutaśca dharmāditi roditavyam /	dead man or one in danger of death is a person to be wept for, likewise one fallen from righteousness.
kayā nu buddhya vanavāsakāmaṃ māmeva jīvantamamī rudanti //	But what may be the meaning of this weeping for me who am alive but desirous of living in the forest?.
madviprayogastvatha śokaheturmayā samaṃ kiṃ na vane vasanti / gehāni cetkāntatarāṇi mattaḥ ko nvādaro bāṣpaparivyayena // atha tvidānīṃ svajanānurāgaḥ karoti naiṣāṃ tapase 'bhyanujñām / sāmarthyamāsītkathamasya naiva vyūḍheṣvanīkeṣvapi tatra tatra //	Suppose the separation from me should be the cause of their sorrow, why will they not dwell in the forest with me? If however they prefer their homes to me, why are they prodigal of their tears?. But granted that attachment to their family prevents them from adopting the state of an ascetic, how is it that the like consideration did not formerly present itself to them on so many battle-fields?.
dṛṣṭāvadāno vyasanodayeṣu bāṣpodgamānmūrta ivopalabdhaḥ / saṃrūḍhamūlo 'pi suhṛtsvabhāvaḥ śāṭhyaṃ prayātyatra vinānuvṛttyā //	have often experienced the heroism of their sincere friendship in adversity, and now behold that deep-rooted friendship, as it were, embodied in their tears. Yet, notwithstanding this, it will seem mere guile to me, since they do not follow my example.
nivāraṇārthāni sagadgadāni vākyāni sāśrūṇi ca locanāni / praṇāmalolāni śirāṃsi caiṣāṃ mānaṃ samānasya yathā karoti // snehastathaivārhati kartumeṣāṃ ślāghyāmanupravajane 'pi buddhim / mā bhūnnaṭānāmiva vṛttametadvrīḍākaraṃ sajjanamānasānām //	As surely as it is great regard for their friend deserving regard, that makes their eyes full of tears, their heads reverentially bent, their words interrupted with sobs, while they are exerting themselves to hinder my departure, so surely ought their love to have the effect of bringing them to the praiseworthy resolution to go and wander about with me, lest they should appear like actors in a theatrical performance, to the shame of the pious!.
dvitrāṇi mitrāṇi bhavantyavaśyamāpadgatasyāpi munirguṇasya / sahāya eko 'pyatidurlabhastu guṇoditasyāpi vanaprayāṇe //	If anybody be in distress, be he ever so wicked a person, some two or three friends will keep with him, at least; but for a man, however excellent by virtue, it will be oh! so hard to get one single comrade, when setting out for the forest!.
ye me haranti sma puraḥsaratvaṃ raṇeṣu mattadvipasaṃkaṭeṣu / nānuvrajantyadya vanāya te māṃ kiṃsvitsa evāsmi ta eva ceme //	Those who in battles, when danger was imminent from furious elephants, used to set an example (of fearlessness) to me, even they do not follow me now, when lead them to the forest.
suhṛjjanasyaivamiyaṃ sthitirme kaccidbhavetsvasti nimittato 'smāt //	Verily am, are they, the same as we were before?. do not recollect having done them any wrong that could cause the ruin of their attachment.
mamaiva vā nirguṇabhāva eṣa nānuvrajantyadya vanāya yanmām / guṇāvabaddhāni hi mānasāni kasyāpi viśleṣayituṃ prabhutvam //	So this behaviour of my. Or is it rather my lack of virtues that hinders them from being my companions in the forest? For who may possess the power of loosening hearts that have been won by virtue?.
ye vā prakāśānapi gehadoṣān guṇānna paśyanti tapovane vā / nimīlitajñānaviocanāṃstān kimanyathāhaṃ paritarkayāmi //	But why indulge in idle reflections about these persons? Of a truth, since they are unable to perceive the evils, however obvious, inherent in the home-life, nor the virtues to be found in the penance-groves, the eye of knowledge is shut to them!.
