Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
iha ca sāmānyenābhidhānān na jñāyate kiṃ svabhūmikair eva saṃprayujyate / utānyabhūmikair apīty ata āha /	" Since they are mentioned here only in general, it is not yet known whether he is accompanied only by the kleśas of his own level or by those of other levels as well.
yatrajas tanmayair 7a iti / yatra jāto yatrajaḥ /	Therefore he says: Where originated, with corresponding, yatrajas yatra jātas.
tanmayair iti yatra dhātau bhūmau vā jātas taddhātukais tadbhūmikair eva ca saṃprayujyate / nānyadhātukair anyabhūmikair vā /	With corresponding (tanmayaih) means: in whatever world or stage it originated, it is accompanied by the kleśas proper to that world or stage, not by those of another world or stage.
kiṃ punaś caturbhir eva kleśaiḥ saṃprayujyate / nety āha /	Is he accompanied only by the four kleśas?
anyaiḥ sparśādyaiś ca / 7b saṃprayujyata iti saṃbadhyate /	He denies it: also from other sense perceptions etc. 'is he accompanied' is to be added.
caśabdaḥ samuccayārthaḥ /	ca means 'also'.
sparśādyair iti sparśamanaskāravedanāsaṃjñācetanābhiḥ /	Of sensory perception, etc. ie sensory perception, attention, feeling, concept and will.
ete hi pañca dharmāḥ sarvatragatvāt sarvavijñānaiḥ saṃprayujyante / etair api yatra jātas tanmayair eva saṃprayujyate nānyadhātubhūmikaiḥ /	For these five elements accompany all consciousness because they are always present.He is also accompanied by these, in so far as they are peculiar to the world or level in which he arose, not by those of another world or level.
atha vānyair iti mūlavijñānasaṃprayuktebhyo vyavacchedārtham	Or 'from others' it is supposed to distinguish them from those accompanying the primal consciousness.
/ mūlavijñāne hy anivṛtāvyākṛtāḥ sparśādayaḥ /	In the primal consciousness, sense perceptions, etc., are undisguised and neutral;
yadi tat kliṣṭaṃ manaḥ kuśalakliṣṭāvyākṛtāvasthāsv aviśeṣeṇa pravartate na tasya tarhi nivṛttir asti /	in the impure inner sense, like this itself, they are undisguised and neutral. When the polluted inner sense functions indiscriminately in good and polluted neutral ones, it never disappears.
anivṛtte ca tasmin kuto mokṣa iti kathaṃ na mokṣābhāvaḥ prasajyate /	Whence then would liberation come if he did not disappeared? How would it not necessarily follow that there is no liberation?
arhato na tat / na nirodhasamāpattau mārge lokottare na ca // 7bcd arhatas tāvad aśeṣakleśaprahāṇāt kliṣṭaṃ mano naivāsti /	This does not follow at all, for: the arhat does not have it, nor is he in nirodhasamāpatti87) as well as on the transcendent path 88).The arhat has no contaminated manas because his kleśas have completely disappeared;
tad dhi bhāvāgrikabhāvanāprahātavyakleśavad arhattvaprāptyānantaryamārgeṇaiva prahīyate /	for it merely disappears as a result of the state that occurs immediately after attaining Arhattum just like the kleśas, which must be destroyed by the mystical concentration peculiar to the world elite.
tad anyakleśavad arhattvāvasthāyān naiva vidyate /	This manas no longer exists in the state of Arhattum any more than the other kleśas.
ākiñcanyāyatanavītarāgasyāpy anāgāmino nirodhasamāpattilābhino mārgabalena nirodhasamāpatter labhyatvāṃ mārgavan nirodhasamāpattyavasthāyām api nirudhyate /	It is also suppressed the manas in the state of nirodhasamāpatti even by an anāgāmin who has no more inclination for äkincanyāyatana and has the gift of nirodhasamāpatti, because he attains this gift by virtue of the Way.
nirodhāc ca vyutthitasya punar ālayavijñānād eva pravartate /	When he gives up this nirodha, his manas again arises from the alayavijnana.
mārge lokottare na ceti (7d)	And not on the transcendent path.
lokottaragrahaṇaṃ laukikavyavacchedārtham /	The path is called transcendent to distinguish it from the worldly;
laukike tu mārge kliṣṭaṃ manaḥ pravartata eva /	on the other hand, on the worldly path, the contaminated manas functions.
nairātmyadarśanasyātmadarśanapratipakṣatvān na lokottaramārge pravartitum utsaheta /	It cannot function on the transcendent path because the realization that there is no permanent self is the opposite of believing there is.Because two nirodhasamāpatti is the concentration-attainable state of rapture in which consciousness is suppressed.
vipakṣapratipakṣayor ayaugapadyāl lokottaramārge tan nirudhyate /	lokkôttaramärga is the fourth aryasatya: nirodhamärga. The aryasatyas are also called cattāro maggā.
tasmād api vyutthitasya punar ālayavijñānād evotpadyate / dvitīyaḥ pariṇāmo 'yam 8a	it arises again from the alayavijnana for the one who leaves this (path).This is the second modification;
uddiṣṭo nidiṣṭaś ceti nigamayati /	is listed and executed; with that he concludes.
dvitīyapariṇāmāntaraṃ tṛtīyaḥ pariṇāmo vaktavya ity ata āha / tṛtīyaḥ ṣaḍvidhasya yā /	Since after the second the third modification is to be named, he says: the third is the perception of the sixfold objects, to add 'The third' is 'modification of consciousness'.
ṣaḍvidhasyeti ṣaṭprakārasya rūpaśabdagandharasaspraṣṭavya dharmātmakasya viṣayasya yā upalabdhir grahaṇaṃ pratipattir ity arthaḥ /	'The sixfold' of the six kinds of 'objects' consisting of color, sound, smell, taste, touch and the dharmaḥ perception, apprehension, ie cognition.
sā punaḥ kiṃ kuśalākuśalāvyākṛtety ata āha /	Is this perception good, bad, or neutral? To which he replies: good, bad and neither.
kuśalākuśalādvayety avyākṛtāpi /	'Neither' neutral.
alobhādveṣāmohaiḥ saṃprayuktā kuśalā /	It is good when accompanied by dispassion, non-hatred, and freedom from ignorance;
lobhadveṣamohaiḥ saṃprayuktākuśalā /	evil when accompanied by lust, hatred and ignorance;
kuśalākuśalair asaṃprayuktādvayā na kuśalā nākuśalety arthaḥ /	if not accompanied by good and evil elements, it is neither, ie neither evil nor good.
sā punaḥ kīdṛśaiś caitasikaiḥ saṃprayujyate /	How many spiritual elements accompany it, and how many spiritual elements accompany it?
sadāsparśamanaskāravitsaṃjñācetanānvitam (3cd) iti prathamato nirdiṣṭāḥ / sparśa eṣām ādir iti sparśādayaḥ / te punaḥ sparśamanaskārādayaḥ pañca dharmāḥ sarvacittam anugacchantīti sarvatragāḥ / tathā hy eta ālayavijñāne kliṣṭe manasi pravṛttivijñāneṣu cāviśeṣeṇa pravartante /	To which he replies: Accompanied by ever-present, objectively determined, good spiritual elements, as well as by the kleśas and upakleśas, by three kinds of feeling it is.Since those who are designated as ever-present are not yet known, in order to teach them he says: The first are sensations, etc. 'The first' are those treated at the beginning, ie the ever-present ones, namely always it is of sensation, amoha prajna amala CC p. 35, anasrava prajna ib. p. 50 alobha u. advesa Nros 7 of the Kusalamahabhumi kas ib. p. 10 sarvatraga, see above note 5 24attention, feeling, concept and will accompanied. That's the first way they're listed. Sensation, etc. : Sensation, attention, etc., these five elements accompany all consciousness, therefore they are the ever-present ones. For in the alayavijnana, the impure manas and the actual processes of consciousness they express themselves indifferently. Referring to the objectively determined he says: Desire (chanda), faithfulness to belief (adhimoksa), remembrance (smrti), concentration (samadhi) and cognition (dhi = prajna, mati) are the determined. Because they are limited to an object, they are objectively determined.They relate to a specific item, not to everyone.
viniyatān adhikṛtyāha /	Desire is the desire for a desired thing;
viśeṣe niyatatvād viniyatāḥ / eṣāṃ hi viśeṣa eva viṣayo na sarvaḥ /	this definition signifies that in each particular case the object of desire is determined, since it is not directed at an undesirable one.
darśanaśravaṇādikriyāviṣayatvena yad abhimataṃ vastu tad abhipretam / tatra darśanaśravaṇādiprārthanā chandaḥ /	What is desired is what is acceptable as an object of seeing, hearing, etc. Desire to see, hear, etc. such a thing is craving.
sa ca vīryārambhasaṃniśrayadānakarmakaḥ /	Its effect is that it provides the basis for virya worldly endeavors.
adhimokṣo niścite vastuni tathaivāvadhāraṇam /	Adherence to conviction consists in that, when one has definitely known a thing, it is fixed as well.
niścitagrahaṇam aniścitapratiṣedhārtham / yuktita āptopadeśato vā yad vastu asaṃdigdhaṃ tan niścitam /	Certainly Known is said to exclude the not definitely known. When a matter is beyond doubt, i.e. certainly known, on the basis of arguments or instruction from a person skilled in the art.
yenaivākāreṇa tan niścitam anityaduḥkhādyākāreṇa tenaivākāreṇa tasya vastunaś cetasy abhiniveśanam / evam etan nānyathety avadhāraṇam adhimokṣaḥ /	If you imagine it in the same form in which you recognized something as transitory, painful, etc. That's how it is and no different this Rh. D. contact, attention, feeling, consciousness, intention etc.D. firm resolve, determination, etc.;
sa cāsaṃhāryatākarmakaḥ /	Its effect is that it bestows steadiness;
adhimuktipradhāno hi svasiddhāntāt parapravādibhir apahartuṃ na śakyate /	for the one who is faithful to his convictions cannot be diverted from his established view by those of other faiths.
smṛtiḥ saṃstute vastuny asaṃpramoṣaś cetaso 'bhilapanatā /	Remembrance in relation to a known thing is the non-blurring of the mind, its reproductivity.
saṃstutaṃ vastu pūrvānubhūtam /	A 'known thing' is one recognized earlier.
ālambanagrahaṇāvipraṇāśakāraṇatvād asaṃpramoṣaḥ /	Because it is the cause of the non-disappearance of cognition of the object, it is 'non-blurring'.
pūrvagṛhītasya vastunaḥ punaḥ punar ālambanākārasmaraṇam abhilapanatā /	Reproductiveness is the repeated bringing to mind of a form or object in relation to a previously recognized thing.
abhilapanam evābhilapanatā /	Reproducing is reproductive.
sā punar avikṣepakarmikā /	But its effect is non-distraction;
ālambanābhilapane sati cittasyālambanāntara ākārāntare vā vikṣepābhāvād avikṣepakarmikā /	this is that when the object is reproduced, the mind is not drawn to another object or form.
samādhir upaparīkṣye vastuni cittasyaikāgratā /	Concentration (meditation) is the exclusive direction of the mind on the matter under examination;
upaparīkṣyaṃ vastu guṇato doṣato vā / ekāgratā ekālambanatā /	this is to be checked for its advantages or disadvantages.Mind's exclusive direction is always to have one and the same object.
jñānasaṃniśrayadānakarmakaḥ /	Its effect consists in providing the basis for cognition;
samāhite citte yathābhūtaparijñānāt /	for with a meditating mind one sees something as it really is.
dhīḥ prajñā /	Thinking = mind.
sāpy upaparīkṣya eva vastuni pravicayo yogāyogavihito 'nyathā veti /	It, too, is directed towards a thing to be examined the examination carried out according to the right or wrong method or which came about in some other way.
yaḥ samyaṅ mithyā vā saṃkīrṇasvasāmānyalakṣaṇeṣv iva dharmeṣu vivekāvabodhaḥ /	Inquiry is the right or wrong cognition of the distinction concerning the elements of existence whose general character and particular characteristics are, as it were, mixed up.
yuktir yogaḥ /	'Right method' is the right means;
sa punar āptopadeśo 'numānaṃ pratyakṣañ ca /	the same is instruction of a credible asampramoşa; cf.
tena triprakāreṇa yogena yo janitaḥ sa yogavihitaḥ /	The investigation effected by these three means is that effected by the right method'.
sa punaḥ śrutamayaś cintāmayo bhāvanāmayaś ca /	It consists of knowledge, reasoning or intuition.
tatrāptavacanaprāmāṇyād yo 'vabodhaḥ sa śrutamayaḥ / yuktinidhyānajaś cintāmayaḥ /	That cognition which rests on the authority of the instruction of a believer is that which consists in knowing; that which is in reflection arises from seeing (ie knowing the right remedy);
samādhijo bhāvanāmayaḥ /	that which is in intuition arises from meditation.
ayogo 'nāptopadeśo 'numānābhāso mithyā praṇihitaś ca samādhiḥ /	False method is instruction from an unbeliever, fallacy, and meditation misapplied.
tenāyogena janito 'yogavihitaḥ /	The investigation effected by such false method is that effected by false method'.
upapattipratilambhiko laukikavyavahārāvabodhaś ca na yogavihito nāyogavihitaḥ /	The investigation accomplished by neither right nor wrong method is the knowledge of worldly conditions which makes something seem well founded.
eṣā ca saṃśayavyāvartanakarmikā /	The effect of prajna is the elimination of doubt;
saṃśayavyāvartanaṃ prajñayā dharmān pravicinvato niścayalābhād iti / ete hi pañca dharmāḥ parasparaṃ vyatiricyāpi pravartante / evañ ca yatrādhimokṣas tatra nāvaśyam itarair api bhavitavyam /	this occurs because he who examines the elements with the intellect attains certain knowledge.The discussed elements also function mutually exclusive; so if faithfulness is present, then the rest need not necessarily be present as well.
evaṃ sarvatra vācyam /	The same applies everywhere.
uktā viniyatāḥ // tadanantaroddiṣṭās tv idānīṃ kuśalā vaktavyā ity ata āha /	The objectively determined' elements are settled; now the 'good' ones named immediately after them shall be dealt with: faith, humility, dreading reputation, the three dispassion, etc., virtuous striving, dexterity, with mindfulness, and causing no harm are the 'good'. These eleven elements' is to be completed.
śraddhātha hrīr apatrapā // 10d	'Belief' śraddha vyavahāra, it could also mean thought-terms.
alobhāditrayaṃ vīryaṃ praśrabdhiḥ sāpramādikā / āhiṃsā kuśalāḥ / 11abc	from prati-labh. literally: bestowing well-foundedness. pratilambha 'appropriation', cf. faculty of belief in retribution, the purity of mind, the reverse of passion.
eta ekādaśa dharmā iti vākyaśeṣaḥ /	Rh. D.
tatra śraddhā astitvaguṇavattvaśakyatveṣu karmaphalasatyaratneṣv abhisaṃpratyayaḥ prasādaś cetaso 'bhilāṣaḥ / śraddhā hi tridhā pravartate /	saddhā faith. is the acceptance of the effect of karma and the äryaratnas äryasatyas, the clarity of mind and desire.For faith is manifested in three ways.
sati vastuni guṇavaty aguṇavati vā saṃpratyayākārā /	When something is given with or without good qualities, it is in the form of an understanding of it;
sati guṇavati ca prasādākārā / sati guṇavati ca prāptum utpādayituṃ vā śakye 'bhilāṣākārā /	in something endowed with good qualities, in the form of serenity; with one that can be attained or produced, in the form of desire.
cetasaḥ prasāda iti /	clarity of mind;
śraddhā hi cittakāluṣyavairodhikīty atas tatsaṃprayoge kleśopakleśamalakāluṣyavigamāc cittaṃ śraddhām āgamya prasīdatīti cetasaḥ prasāda ucyate	because belief is incompatible with the turbidity of the mind, since in the accompanying presence of belief the dirt and turbidity of the kleśas and upakleśas disappear, the mind becomes clear after attaining faith: this is called clarification of the mind.
sā punaś chandasaṃniśrayadānakarmikā /	The effect of belief is that it provides the basis for 'craving' (chanda).
hrīr ātmānaṃ dharmaṃ vādhipatiṃ kṛtvāvadyena lajjā /	Humility is the sense of shame in what is blameworthy, considering oneself or religion as the determining factor (adhipati).
sadbhir garhitatvād aniṣṭavipākatvāc ca pāpam evāvadyam /	Because it is scolded by the good and has bad consequences, what is blameworthy is sin.
tenāvadyena kṛtenākṛtena vā yā cittasyāvalīnatā lajjā sā hrīḥ /	From this blameworthy thing, whether one has committed it or not, there comes a depression of spirit, a sense of shame, and that is humility.
iyaṃ ca duścaritasaṃyamasaṃniśrayadānakarmikā / apatrāpyaṃ lokam adhipatiṃ kṛtvāvadyena lajjā /	Its effect is that it provides the basis for abstinence from bad conduct.Afraid of bad reputation is the feeling of shame about what is blameworthy, if one considers one's contemporaries as the decisive factor.
loke hy etad garhitaṃ māṃ caivaṃ karmāṇaṃ viditvā garhiṣyatīty aślokādibhayād avadyena lajjate /	This is scolded by the contemporaries and if they know that I do something like that, they will scold me for fear of bad reputation, etc. , he is ashamed of the blameworthy.
idam api duścaritasaṃyamasaṃniśriyadānakarmakam /	The effect of fear of bad reputation is the same as that of humility.
alobho lobhapratipakṣaḥ /	Dispassion is the opposite of lust;
lobho nāma bhave bhavopakaraṇeṣu ca yāsaktiḥ prārthanā ca /	this consists in clinging to existence and what belongs to it and longing for it.
tatpratipakṣo 'lobho bhave bhavopakaraṇeṣu vānāsaktiḥ vaimukhyañ ca / ayañ ca duścaritāpravṛttisaṃniśrayadānakarmakaḥ /	Its counterpart, dispassion, consists in not being attached to existence and what goes with it and turning away from it.Its effect is that it provides the basis for not indulging in bad conduct.
adveṣo dveṣapratipakṣo maitrī /	Freedom from hate is the opposite of hate, benevolence.
dveṣo hi sattveṣu duḥkhe duḥkhasthānīyeṣu ca dharmeṣv āghātaḥ /	Hatred is hostility towards living beings regarding suffering and related elements of existence.
adveṣo dveṣapratipakṣatvāt sattveṣu duḥkhe duḥkhasthānīyeṣu ca dharmeṣv anāghātaḥ /	Since freedom from hatred is the opposite of hatred, it consists in non-enmity towards living beings as to suffering and the elements of existence pertaining thereto.
ayam api duścaritāpravṛttisaṃniśrayadānakarmakaḥ /	Its effect is the same as that of dispassion.
amoho mohapratipakṣo yathābhūtasaṃpratipattiḥ /	Freedom from ignorance is the opposite of ignorance. A belief that is not true is called ignorance;
mohaḥ karmaphalasatyaratneṣv ajñānam / mohapratipakṣatvād amohas teṣv eva karmaphalasatyaratneṣu saṃpratipattiḥ / ayam api duścaritāpravṛttisaṃniśrayadānakarmakaḥ /	it is ignorance of the workings of karma and the satyaratnas. Because freedom from ignorance is the opposite of ignorance, it is the correct realization of the workings of karma and satyaratnas. Their effect is the same as the two previous ones.
vīryaṃ kausīdyapratipakṣaḥ kuśale cetaso 'bhyutsāhaḥ /	Moral energy is the opposite of moral inertia, it is the will for the good, not for the morally impure;
na tu kliṣṭe /	adosa absence of illwill.
kliṣṭe tūtsāhaḥ kutsitatvāt kausīdyam eva /	dveşa, for which the term pratigha is used by the kleśas.
etac ca kuśalapakṣaparipūraṇapariniṣpādanakarmakam /	amoha does not belong to the kuśala-mahābhūmika dharmas CC p. 101, but is a special kind of prajna listed under the cittamahābhūmikas.
praśrabdhir dauṣṭhulyapratipakṣaḥ kāyacittakarmaṇyatā /	According to CC 101, kausīdya is the opposite of prasrabdhi, defined as faculty of mental heaviness, clumsiness;
dauṣṭhulyaṃ kāyacittayor akarmaṇyatā sāṃkleśikadharmabījāni ca / tadapagame praśrabdhisadbhāvāt /	Unfitness is incapacity to act for body and mind as well as the germs of the existential elements infecting through the kleśas, for with their dwindling nimbleness occurs.
tatra kāyakarmaṇyatā kāyasya svakāryeṣu [Tvbh_80] laghusamutthānatā yato bhavati / cittakarmaṇyatā samyaṅmanasikārasaṃprayuktasya cittasyāhlādalāghavanimittaṃ yac caitasikaṃ	The agility of the body is what enables it to quickly carry out its tasks.Agility of mind means that it acts in regard to the object by virtue of its association with another element of existence, which is caused by the cheerfulness and ease of mind accompanied by right attention.
kāyasya punaḥ spraṣṭavyaviśeṣa eva prītyāhṛtaḥ kāyapraśrabdhir veditavyā /	Agility of the body, as one knows, is possessed by one whose manas is seized by the joy of the body in a specific bodily object.
prītamanasaḥ kāyaḥ praśrabhyata iti sūtre vacanāt /	Thus it is said in the sutra: "The body of a joyful inner mind is turned."
iyaṃ tadvaśenāśrayaparāvṛttito 'śeṣakleśāvaraṇaniṣkarṣaṇakarmikā / sāpramādikā /	The effect of this dexterity is the complete annihilation of the kleśâvaraņas as a result of the dissolution upheaval of the substrate that occurs as a result of this skill.
sahāpramādena pravartata iti sāpramādikā /	sâ 'pramadikā = he is together with mindfulness.
kā punar asau /	Who does this mean?
upekṣā /	Equanimity.
kuta etat /	How come?
ekāntakuśalatvāt sarvakuśalānāṃ ceha nirdeśādhikārāc chraddhādivat sākṣād anirdeśāt tadvyatiriktānyakuśalābhāvāc copekṣaiva vijñāyate /	Because it is exclusively 'good' and all good are to be listed here, since it is not explicitly listed like 'belief' etc. and there are no other good besides it, then one realizes that it is equanimity must be.Mindfulness is the opposite of carelessness.
tatrāpramādaḥ pramādapratipakṣaḥ /	From 'dispassion' to 'virtuous striving' everything is 'mindfulness'.
alobhād yāvad vīryam apramādaḥ /	Instead of hṛtah, read hrtamanasah, as the pritamanasaḥ immediately following shows.
yān alobhādīn niśrityākuśalān dharmān prajahāti tatpratipakṣāṃś ca kuśalān dharmān bhāvayati te 'lobhādayo 'pramādaḥ /	is cited. See introduction to v. See commentary on v. part, bringing into being the good dharmas.
ata eva pramādapratipakṣaḥ pramādasyāto viparītatvāt /	That is why it has negligence as its counterpart, because it is its opposite.
sa punar laukikalokottarasaṃpattiparipūraṇakarmakaḥ /	Its effect consists in the success and completion of the worldly and the transcendent.
upekṣā cittasamatā cittapraśaṭhatā cittānābhogatā /	Equanimity is evenness of mind, quickness of mind, objectlessness of mind;
ebhis tribhiḥ [Tvbh_82] padair upekṣāyā ādimadhyāvasānāvasthā dyotitā / tatra layauddhatyaṃ vā cetaso vaiṣamyam /	with these three words the beginning, middle and end states of equanimity are emphasized.Dullness or pleasure-seeking are regarded as the imbalance of the mind.
tasyābhāvād ādau cittasamatā /	In the absence of these, evenness of mind occurs first.
tato 'nabhisaṃskāreṇāprayatvena samāhitasya cetaso yathāyogaṃ samasyaiva yā pravṛttiḥ sā cittapraśaṭhatā /	When the mind, collected without special preparation and exertion, acts steadily according to its goal, this is activity of the mind.
sā punar avasthā layauddhatyaśaṅkānugatācirabhāvitatvāt /	But this condition, because of its short duration, is always accompanied by fear of a relapse into dullness or pleasure-seeking.
tato bhāvanāprakarṣagamanāt tadvipakṣadūrībhāvāt tacchaṅkābhāve layauddhatyapratipakṣanimitteṣv ābhogam akurvato 'nābhogāvasthā cittasyānābhogatā	When the concentration thereon reaches its highest degree and what is hostile to it is eliminated, then that apprehension falls away, and the mind, no longer fixed on what is supposed to be opposed to dullness or pleasure-seeking, is then in a condition not to face any object; that is the objectlessness of the mind.
iyañ ca sarvakleśopakleśānavakāśasaṃniśrayadānakarmikā /	The effect of equanimity is that it provides the basis for all kleśas and upakleśas not to have an opportunity.
avihiṃsā vihiṃsāpratipakṣaḥ /	Not causing suffering is the opposite of causing suffering.
vadhabandhanādibhiḥ sattvānām aviheṭhanam avihiṃsā sattveṣu karuṇā /	Not harming living beings by killing, binding, etc.Is not causing harm; compassion for living beings.
kāruṇiko hi paraduḥkhaduḥkhī bhavatīti /	For the compassionate suffers suffering from others.
iyaṃ cāviheṭhanakarmikā /	The effect of no-harm is non-harm.
uktā ekādaśa kuśalāḥ / tadanantaroddiṣṭās tu kleśā ity atas tān adhikṛtyāha /	The eleven 'good' dharmas are done, immediately after them the kleśas are listed;
iti / rāgaś ca pratighaś ca mūḍhiś ca rāgapratighamūḍhayaḥ /	these he names: The kleśas are love, hate, ignorance, pride, delusion and doubt. Love, hate and ignorance.
tatra rāgo bhavabhogayor adhyavasānaṃ prārthanā ca /	Love is the acknowledgment of existence and pleasure and craving.
sa punar duḥkhasaṃjananakarmakaḥ /	Its effect is that it keeps being associated with suffering.
duḥkham atropādānaskandhās teṣāṃ kāmarūpārūpyatṛṣṇāvaśād abhinirvṛtteḥ /	By suffering here is meant the upādāna-skandhas; these appear in Kamadhātu, Rūpadhātu and Arūpyadhātu as a result of the tṛṣṇā.
ato rāgasya duḥkhasaṃjananaṃ karma nirdiśyate /	That is why the effect of love is given as being associated with suffering.
pratighaḥ sattveṣv āghātaḥ sattveṣu rūkṣacittatā yenāviṣṭaḥ sattvānāṃ vadhabandhanādikam anarthañ cintayati / sa punar asparśavihāraduścaritasaṃniśriyadānakarmakaḥ /	Ha is the enmity towards living beings, hard-heartedness towards them; the one filled with hatred plans harm to beings, such as killing, binding, etc.Its effect is that it provides the basis for unpleasant behavior and evil deeds.
duḥkhasahita ity arthaḥ / āghātacittasyāvaśyaṃ daurmanasyasamudācārāc cittaṃ tapyate / cittānuvidhānāc ca kāyo 'pi tapyata eveti sarveryāpatheṣu saduḥkhasavighāto 'sparśavihāro bhavati /	Because one of angry mind necessarily gets in a bad mood, his mind grieves; and because the body conforms to it, it too must suffer. That is why he is everywhere where careful behavior is important, of unpleasant behavior, full of suffering and offense.
pratihatacittasya ca na kiñcid duścaritaṃ vidūra iti pratigho 'sparśavihāraduścaritasaṃniśrayadānakarmaka uktaḥ /	And since no wrongdoing is excluded for one of hateful spirit, therefore the effect of hatred is as given above.
moho 'pāyeṣu sugatau nirvāṇe tatpratiṣṭhāpākeṣu hetuṣu teṣāṃ cāviparīte hetuphalasaṃbandhe yad ajñānam /	Ignorance is ignorance regarding the virtues, the Buddha, Nirvana, the causes that determine this and their truthful connection with their consequences.
ayañ ca saṃkleśotpattisaṃniśriyadānakarmakaḥ /	Its effect is that it is the basis for the generation of contamination by kleśas.
tatra kleśakarmajanmātmakas trividhaḥ saṃkleśaḥ / tasyotpattiḥ pūrvapūrvasaṃkleśanimittād uttarottarasya saṃkleśasyātmalābhaḥ /	This is threefold as kleśa, karma and janma: its genesis is the coming into being of each subsequent kleśas contamination caused by the preceding kleśas contamination; karma is what provides the basis for this emergence.Because for the 'ignorant' come the kleśas untrue knowledge, doubt, love etc. , the kamarāga and bhavaraga: Abh.
tasyotpatteḥ saṃniśrayadānakarma /	The īryāpathas are: walking, standing, sitting, lying down.
[Tvbh_86] mūḍhasyaiva hi mithyājñānasaṃśayarāgādikleśapaunarbhavikakarmajanmanāṃ pravṛtter nāmūḍhasyeti /	It may be read: saduḥkhasavighātâsparśavihārī. the karma leading to birth and birth into appearance, not for those who are not.
mānaḥ / māno hi nāma sarva eva satkāyadṛṣṭisamāśrayeṇa pravartate /	pride. All pride is based on the delusion of a permanent self and is characterized by an increased sense of self of the mind.
tathā hy ātmātmīyabhāvaṃ skandheṣv adhyāropyāyam aham idaṃ mamety ātmānaṃ tena tena viśeṣeṇonnamayati /	Thus: identifying one's own being through transference with the skandhas: 'This is I, this is mine', one elevates oneself in one way or another and considers oneself superior to others.
sa cāgauravaduḥkhotpattisaṃniśrayadānakarmakaḥ /	Its effect is that it provides the basis for disrespect and suffering.
agauravaṃ guruṣu guṇavatsu ca pudgaleṣu stabdhatā kāyavācor apraśrititā duḥkhotpattiḥ punar atra punarbhavotpattiḥ /	Disrespect is the respected persons and persons of high virtue towards conceit, naughtiness in speech and physical behavior.
sa ca punaś cittonnatisvarūpābhede 'pi cittonnatinimittabhedāt saptadhā bhidyate / māno 'timāna ity evamādi / hīnāt kulavijñānavittādibhiḥ śreyān asmi kulavijñānavittādibhir iti yā cittasyonnatiḥ sadṛśena vā kulādibhir eva sadṛśo 'smīti yā cittasyonnatiḥ sa mānaḥ /	But here the origin of suffering is rebirth.Though the heightened sense of self of the mind is the same everywhere, yet because of the different occasions for which it arises, seven kinds of pride are distinguished as māna, atimāna, etc. When one considers himself better in lineage, knowledge, wealth, etc., than one who conforms to him inferior in these same things, or if he feels himself equal in these things with one who is his equal in these things, this is increased self-esteem (simple) pride (mana).
atimānaḥ / kulavijñānavittādibhiḥ sadṛśāt tyāgaśīlapauruṣādibhiḥ śreyān asmi śreyasā vā kulavidyādibhiḥ sadṛśo 'smi vijñānavittādibhir ity ayam atimānaḥ /	If anyone thinks himself better than one equal in birth, knowledge, wealth, because of generosity, virtue, bravery, etc., or if he thinks himself equal in knowledge, wealth, etc., with one superior to him in birth, knowledge, etc methinks this heightened sense of self is arrogance (atimana).
śreyasaḥ kulavijñānavittair aham eva śreyān asmi kulavijñānavittair iti yā cittasyonnatir ayaṃ mānātimānaḥ /	When a man deems himself better in lineage, knowledge, wealth, etc., than one who is superior to him in these things, that increased self-esteem of the mind is pride (mānātimāna).
asmimānaḥ / pañcasūpādānaskandheṣv ātmātmīyarahiteṣv ātmātmīyābhiniveśād yā cittasyonnatiḥ so 'smimānaḥ /	Because one feels an insuperable inclination (abhiniveśa) as towards the self and its pertaining to the 5 upādānaskandhas, which have nothing to do with a self and its pertaining, this heightened sense of self of the mind is self-conceit (asmimäna).If you, without a Jacobi.
abhimānaḥ / aprāpta uttare viśeṣādhigame prāpto mayeti yā cittasyonnatiḥ so 'bhimānaḥ /	Having attained a higher stage imagines I have attained it, this heightened sense of self of the mind is self-importance.
ūnamānaḥ / bahvantaraviśiṣṭāt kulavidyādibhir alpāntarahīno 'smi kulavidyādibhir iti yā cittasyonnatir ayam ūnamānaḥ /	If one thinks of one who is distinguished by many degrees of lineage, science, etc., as being inferior to him by only a few degrees in those same things, then that elevated sense of self of the mind is ūnamāna.
mithyāmānaḥ / aguṇavato guṇavān asmīti yā cittasyonnatiḥ sa mithyāmānaḥ /	When one who has the opposite of virtue considers himself virtuous, this heightened sense of self of the mind is false pride.
aguṇā hi dauḥśīlyādayas te yasya vidyante so 'guṇavān /	Because opposites of virtue are bad character etc., and he who has these is agunavat.
tasmād guṇavān asmīty anena hi dānaśīlādyabhāve 'pi guṇavattvam abhyupagataṃ bhavatīty ato nirvastukatvān mithyāmāna ity ucyate /	When such a person believes: I am virtuous, he claims that he possesses virtue, although he lacks gifts, character, etc.; because of its non-objectivity it is called false pride.
